년도,월,순위,타이틀,가수,프로듀서
2020,8,98,좋아한다니까,염따 (YUMDDA),"YUMDDA, L-like"
2020,8,99,악몽,ASH ISLAND (애쉬 아일랜드),TOIL
2020,8,100,"방에 혼자 있을 때 (Feat. CHANGMO, ASH ISLAND)",릴러말즈 (Leellamarz),"TOIL, The Quiett"
2020,9,1,눈누난나 (NUNU NANA),제시 (Jessi),"유건형, PENOMECO, 전병일, PHILL"
2020,9,3,Downtown Baby,블루 (BLOO),"ROCK IT PRODUCTIONS, BLOO"
2020,9,4,Summer Hate (Feat. 비),지코 (ZICO),"ZICO, Poptime"
2020,9,6,METEOR,창모 (CHANGMO),CHANGMO
2020,9,7,아무노래,지코 (ZICO),"ZICO, Poptime"
2020,9,10,LINDA (Feat. 윤미래),린다G (Linda G),"CODE KUNST, Pick!, devita, 윤미래"
2020,9,20,깡 Official Remix,"식케이 (Sik-K), pH-1 (피에이치원), 박재범 (Jay Park), 김하온 (HAON)","Keymaker, 길, 조용민"
2020,9,25,Error (Feat. Loopy),ASH ISLAND (애쉬 아일랜드),"TOIL, ASH ISLAND, Skinny Brown"
2020,9,28,BAND,"창모 (CHANGMO), Hash Swan (해쉬스완), ASH ISLAND (애쉬 아일랜드), 김효은 (Keemhyoeun)",Cashbanger
2020,9,29,STAY THE NIGHT (Feat. DeVita),GRAY (그레이),"GRAY, DeVita"
2020,9,30,빌었어,창모 (CHANGMO),CHANGMO
2020,9,31,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따 (YUMDDA), 딥플로우 (Deepflow), 팔로알토 (Paloalto), The Quiett (더 콰이엇), 사이먼 도미닉 (Simon Dominic)","noisemasterminsu, YUMDDA, Deepflow, 김효은, Huckleberry P"
2020,9,32,시차 (We Are) (Feat. 로꼬 & GRAY),우원재 (Woo Wonjae),GRAY
2020,9,33,아름다워,창모 (CHANGMO),CHANGMO
2020,9,40,Paranoid,ASH ISLAND (애쉬 아일랜드),"ASH ISLAND, TOIL"
2020,9,41,어땠을까 (Feat. 박정현),싸이 (PSY),"PSY, 유건형"
2020,9,42,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1 (피에이치원), 키드밀리 (Kid Milli), 루피 (Loopy)","CODE KUNST, Paloalto, pH-1, Kid Milli, Loopy"
2020,9,43,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍 (LEESSANG),"Leon Russell, Bonnie Bramlett, Delaney Bramlett, 길, PEEJAY"
2020,9,44,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO),CHANGMO
2020,9,46,곡예사,조광일 (Gwangil Jo),AHWU
2020,9,48,Trip (Feat. Hannah),릴러말즈 (Leellamarz),"TOIL, Leellamarz, Smob"
2020,9,50,한여름밤의 꿀,"San E (산이), 레이나 (Raina)","San E, 코스믹 사운드"
2020,9,52,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize),"Deanfluenza, Hyuk Shin, J Bird, Esta, Delly Boi, DK"
2020,9,54,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이 (GIRIBOY),"GIRIBOY, CODE KUNST"
2020,9,56,우산 (Feat. 윤하),에픽하이 (EPIK HIGH),Tablo
2020,9,57,400km (Feat. Kid Milli),한요한 (HANYOHAN),"Minit, HANYOHAN"
2020,9,60,자니 (Feat. Dynamic Duo),프라이머리 (Primary),"GAEKO, Primary"
2020,9,62,띵 (Prod. By 기리보이),"Jvcki Wai (재키와이), 양홍원 (YANGHONGWON), Osshun Gum (오션검), 한요한 (HANYOHAN)","Jvcki Wai, GIRIBOY"
2020,9,64,"올인 (Feat. Paul Blanco, 창모)",한요한 (HANYOHAN),"HANYOHAN, Minit"
2020,9,66,Ballerino,리쌍 (LEESSANG),길
2020,9,67,널 너무 모르고,헤이즈 (Heize),GroovyRoom
2020,9,68,그땐 그땐 그땐,"Supreme Team (슈프림팀), 영준 (YOUNG JUN)","김건우, 송기홍"
2020,9,71,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),"GroovyRoom, Sik-K"
2020,9,72,GONE (Feat. Paloalto) (Prod. TOIL),"릴러말즈 (Leellamarz), TOIL (토일)","TOIL, Leellamarz, J Way"
2020,9,75,Fadeaway,"Jvcki Wai (재키와이), 쿠기 (Coogie), 팔로알토 (Paloalto), The Quiett (더 콰이엇), 뱃사공 (Bassagong)","Kid Wine, Jvcki Wai, The Quiett"
2020,9,76,우연히 봄,"로꼬 (Loco), 유주 (YUJU)","똘아이박, 피터팬, Noheul"
2020,9,80,죽일 놈 (Guilty),다이나믹 듀오 (Dynamicduo),"GAEKO, Choiza, Primary"
2020,9,82,마에스트로 (Maestro),창모 (CHANGMO),CHANGMO
2020,9,83,시간이 들겠지 (Feat. Colde),로꼬 (Loco),"APRO, Loco, Colde"
2020,9,87,flex (Prod. By 기리보이),"기리보이 (GIRIBOY), 키드밀리 (Kid Milli), NO:EL (노엘), 스윙스 (Swings)",GIRIBOY
2020,9,88,비워 (Beer) (Prod. Way Ched),"창모 (CHANGMO), Hash Swan (해쉬스완), ASH ISLAND (애쉬 아일랜드), 김효은 (Keemhyoeun), 릴러말즈 (Leellamarz), The Quiett (더 콰이엇)",Way Ched
2020,9,90,"야망 (Feat. ASH ISLAND, 김효은, Hash Swan, CHANGMO) (Prod. TOIL)",릴러말즈 (Leellamarz),"TOIL, Leellamarz"
2020,9,91,악몽,ASH ISLAND (애쉬 아일랜드),TOIL
2020,9,92,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), NO:EL (노엘), 양홍원 (YANGHONGWON)",BRLLNT
2020,9,93,아이야 (Feat. Beenzino),창모 (CHANGMO),CHANGMO
2020,9,94,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),"Tablo, DJ 투컷"
2020,9,95,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO),"ZICO, PEEJAY, Jvcki Wai, YUMDDA"
2020,9,96,몸매 (MOMMAE) (Feat. Ugly Duck),박재범 (Jay Park),"Jay Park, GRAY"
2020,9,97,돌아오지마 (Feat. 용준형 Of 비스트),헤이즈 (Heize),"Heize, 브라더수"
2020,9,99,Martini Blue,DPR LIVE (디피알 라이브),"DPR LIVE, DPR CREAM"
2020,10,1,눈누난나 (NUNU NANA),제시 (Jessi),"유건형, PENOMECO, 전병일, PHILL"
2020,10,3,Downtown Baby,블루 (BLOO),"ROCK IT PRODUCTIONS, BLOO"
2020,10,5,METEOR,창모 (CHANGMO),CHANGMO
2020,10,6,Summer Hate (Feat. 비),지코 (ZICO),"ZICO, Poptime"
2020,10,9,아무노래,지코 (ZICO),"ZICO, Poptime"
2020,10,14,잠이 들어야 (Feat. 헤이즈),로꼬 (Loco),"CODE KUNST, Loco, Heize, Pick!"
2020,10,15,LINDA (Feat. 윤미래),린다G (Linda G),"CODE KUNST, Pick!, devita, 윤미래"
2020,10,25,우리서로사랑하지는말자,기리보이 (GIRIBOY),"GIRIBOY, vibin"
2020,10,26,연기 (With 헤이즈),기리보이 (GIRIBOY),"GIRIBOY, vibin, Heize, GLEAM"
2020,10,29,Error (Feat. Loopy),ASH ISLAND (애쉬 아일랜드),"TOIL, ASH ISLAND, Skinny Brown"
2020,10,30,깡 Official Remix,"식케이 (Sik-K), pH-1 (피에이치원), 박재범 (Jay Park), 김하온 (HAON)","Keymaker, 길, 조용민"
2020,10,33,BAND,"창모 (CHANGMO), Hash Swan (해쉬스완), ASH ISLAND (애쉬 아일랜드), 김효은 (Keemhyoeun)",Cashbanger
2020,10,35,빌었어,창모 (CHANGMO),CHANGMO
2020,10,37,아름다워,창모 (CHANGMO),CHANGMO
