월,순위,타이틀,가수
2,47,Downtown Baby,블루 (BLOO)
2,48,좋아해 (bye),CHEEZE (치즈)
2,49,사랑한다는 말로는,피아노맨
2,50,You(=I),볼빨간사춘기
2,51,위잉위잉,혁오 (HYUKOH)
2,52,왜 그때는,스무살
2,53,별 보러 가자,적재
2,54,She (Hidden Track No.V 1월 선정곡),잔나비
2,55,어떻게 생각해,CHEEZE (치즈)
2,56,Traveler,숀 (SHAUN)
2,57,Little Star,스탠딩 에그
2,58,널 생각해,원 모어 찬스 (one more chance)
2,59,우리집을 못 찾겠군요 (Feat. 볼빨간사춘기),매드클라운
2,60,취한김에,어쿠루브
2,61,Lonely,볼빨간사춘기
2,62,혜화동 거리에서,피아노맨
2,63,사랑은 은하수 다방에서,10CM
2,64,프리지아,볼빨간사춘기
2,65,나랑 아니면,검정치마
2,66,"그대와 나, 설레임 (Feat. 소울맨)",어쿠스틱 콜라보
2,67,오빠야,신현희와김루트
2,68,그림,오왠 (O.WHEN)
2,69,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학
2,70,The Time Goes On,BewhY (비와이)
2,71,하고 싶은 말 (Feat. 한올),어쿠루브
2,72,취한 밤 (Feat. 진실 of Mad Soul Child),오반
2,73,Mood Indigo,CHEEZE (치즈)
2,74,물감,문문 (MoonMoon)
2,75,X Song,볼빨간사춘기
2,76,선을 그어 주던가,1415
2,77,"Dali, Van, Picasso",빈지노 (Beenzino)
2,78,"생각나 (Feat. 오반 (OVAN), SUMIN)",숀 (SHAUN)
2,79,"너, 너",스트레이 (The Stray)
2,80,pet,10CM
2,81,혹시 모르니까,윤딴딴
2,82,터미널 (Terminal),숀 (SHAUN)
2,83,싸운날,볼빨간사춘기
2,84,그게 뭐라고,어쿠루브
2,85,고백,델리스파이스
2,86,와리가리,혁오 (HYUKOH)
2,87,부끄럼,멜로망스
2,88,City,오왼 (Owen)
2,89,별이 되지 않아도 돼,109
2,90,고백,뜨거운 감자
2,91,Laputa (Feat. Crush),DPR LIVE
2,92,지쳤니,바닐라 어쿠스틱
2,93,LOVE YA!,혁오 (HYUKOH)
2,94,냉탕에 상어 (Feat. 블랙넛),수퍼비 (SUPERBEE)
2,95,취기를 빌려 (Vocal 이민혁),새봄 (saevom)
2,96,첫사랑,에피톤 프로젝트
2,97,Dejavu,볼빨간사춘기
2,98,틀린질문,검정치마
2,99,여름밤에 우린,스탠딩 에그
2,100,처음이니까,오왠 (O.WHEN)
3,1,이 노래가 클럽에서 나온다면,우디 (Woody)
3,2,그러나,10CM
3,3,Way Back Home,숀 (SHAUN)
3,4,주저하는 연인들을 위해,잔나비
3,5,여자친구,하은요셉
3,6,행복,오반
3,7,습관 (Bad Habits),숀 (SHAUN)
3,8,여행,볼빨간사춘기
3,9,선물,멜로망스
3,10,봄이 오는 날에,김민석 (멜로망스)
3,11,너라는 세상,스탠딩 에그
3,12,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
3,13,봄이 좋냐??,10CM
3,14,동화,멜로망스
3,15,폰서트,10CM
3,16,좋다고 말해,볼빨간사춘기
