월,순위,타이틀,가수
1,86,Trip (Feat. Hannah),릴러말즈 (Leellamarz)
1,87,하루 하루,BIGBANG (빅뱅)
1,88,LINDA (Feat. 윤미래),린다G
1,89,나란히,BewhY (비와이)
1,90,휘파람,BLACKPINK
1,91,400km (Feat. Kid Milli),한요한
1,92,행복,오반
1,93,너에게 쓰는 편지 (Feat. 린),MC몽
1,94,Inner Child,방탄소년단
1,95,왜 이리 시끄러운 것이냐 (Prod. SLO),머쉬베놈 (MUSHVENOM)
1,96,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이
1,97,우연히 봄,"로꼬, 유주 (YUJU)"
1,98,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH)
1,99,GONE (Feat. Paloalto) (Prod. TOIL),"릴러말즈 (Leellamarz), TOIL"
1,100,격리해제 (CODE CLEAR),Various Artists
2,1,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"미란이 (Mirani), 먼치맨(MUNCHMAN), Khundi Panda, 머쉬베놈 (MUSHVENOM)"
2,2,Life Goes On,방탄소년단
2,3,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",릴보이 (lIlBOI)
2,4,METEOR,창모 (CHANGMO)
2,5,어떻게 지내 (Prod. By VAN.C),오반
2,6,"CREDIT (Feat. 염따, 기리보이, Zion.T)",릴보이 (lIlBOI)
2,7,봄날,방탄소년단
2,8,"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)",미란이 (Mirani)
2,9,Downtown Baby,블루 (BLOO)
2,10,Freak (Prod. Slom),"릴보이 (lIlBOI), 원슈타인, Chillin Homie, 스카이민혁 (Skyminhyuk)"
2,11,뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),Khundi Panda
2,12,눈누난나 (NUNU NANA),제시 (Jessi)
2,13,"ON AIR (Feat. 로꼬, 박재범 & GRAY)",릴보이 (lIlBOI)
2,14,아무노래,지코 (ZICO)
2,15,악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),스윙스
2,16,ON,방탄소년단
2,17,고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
2,18,"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)",머쉬베놈 (MUSHVENOM)
2,19,"Rosario (Feat. CL, ZICO)",에픽하이 (EPIK HIGH)
2,20,Pretty Savage,BLACKPINK
2,21,사랑은(Feat.원슈타인),마미손
2,22,사이렌,호미들
2,23,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),"스윙스, 맥대디 (Mckdaddy), Khakii (카키), 래원 (Layone)"
2,24,적외선 카메라,원슈타인
2,25,내 얘기 같아 (Feat. 헤이즈),에픽하이 (EPIK HIGH)
2,26,"가다 (Feat. 사이먼 도미닉, The Quiett) (Prod. SLO)",머쉬베놈 (MUSHVENOM)
2,27,Summer Hate (Feat. 비),지코 (ZICO)
2,28,축하해 (Prod. By VAN.C),오반
2,29,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK
2,30,시차 (We Are) (Feat. 로꼬 & GRAY),우원재
2,31,부어라 비워라 (Tricker) (Prod. GroovyRoom),머쉬베놈 (MUSHVENOM)
2,32,잠시,방탄소년단
2,33,옜다,"머쉬베놈 (MUSHVENOM), 저스디스 (JUSTHIS)"
2,34,Kill This Love,BLACKPINK
2,35,어떻게 지내 (답가),런치
2,36,"범(feat.Chillin Homie, Kid Milli)",라비 (RAVI)
2,37,"Rainy day (Feat. ASH ISLAND, Skinny Brown)",PATEKO (파테코)
2,38,아름다워,창모 (CHANGMO)
2,39,도망가,MINO (송민호)
2,40,00:00 (Zero O’Clock),방탄소년단
2,41,우리서로사랑하지는말자,기리보이
2,42,사랑이었나봐,기리보이
2,43,DNA,방탄소년단
2,44,"윈윈 (Feat. 개코, BewhY) (Prod. BewhY)","허성현 (Huh), dsel (디젤), 가오가이 (kaogaii), Untell (언텔)"
2,45,빌었어,창모 (CHANGMO)
2,46,병,방탄소년단
2,47,IDOL,방탄소년단
2,48,"헤어지지 못하는 여자, 떠나가지 못하는 남자 (Feat. 정인)",리쌍
2,49,Officially Missing You,긱스 (Geeks)
2,50,Make A Wish (Birthday Song),NCT U
2,51,Error (Feat. Loopy),ASH ISLAND
2,52,친구,방탄소년단
2,53,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉"
2,54,Black Swan,방탄소년단
2,55,어땠을까 (Feat. 박정현),싸이 (PSY)
2,56,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, 키드밀리 (Kid Milli), 루피 (Loopy)"
2,57,꽉 쥔 주먹속의 라이터,호미들
2,58,BAND,"창모 (CHANGMO), Hash Swan, ASH ISLAND, 김효은"
2,59,Paranoid,ASH ISLAND
2,60,우연히 봄,"로꼬, 유주 (YUJU)"
2,61,사랑을 했다 (LOVE SCENARIO),iKON
2,62,널 너무 모르고,헤이즈 (Heize)
2,63,SOLO,제니 (JENNIE)
2,64,잠이 들어야 (Feat. 헤이즈),로꼬
2,65,Moon,방탄소년단
2,66,커피가게 아가씨 (Feat. 원슈타인) (Prod. PEEJAY),BIG Naughty (서동현)
2,67,"And July (Feat. DEAN, DJ Friz)",헤이즈 (Heize)
2,68,하루 하루,BIGBANG (빅뱅)
2,69,Trip (Feat. Hannah),릴러말즈 (Leellamarz)
2,70,"Hero (Feat. JUSTHIS, Golden) (Prod. GroovyRoom)",Khundi Panda
2,71,Y (Please Tell Me Why),프리스타일
2,72,Filter,방탄소년단
2,73,FAKE LOVE,방탄소년단
2,74,Selfmade Orange (Feat. SUPERBEE),창모 (CHANGMO)
2,75,이 노래가 클럽에서 나온다면,우디 (Woody)
2,76,Drama,블루 (BLOO)
2,77,Nerdy Love (Feat. 백예린),pH-1
2,78,"인기 (Feat. 송가인, 챈슬러)",MC몽
2,79,너에게 쓰는 편지 (Feat. 린),MC몽
2,80,GONE (Feat. Paloalto) (Prod. TOIL),"릴러말즈 (Leellamarz), TOIL"
2,81,휘파람,BLACKPINK
2,82,영웅 (英雄; Kick It),NCT 127
2,83,300(prod. Cashbanger),호미들
2,84,거짓말,BIGBANG (빅뱅)
2,85,자니 (Feat. Dynamic Duo),프라이머리
2,86,400km (Feat. Kid Milli),한요한
2,87,악몽,ASH ISLAND
