월,순위,타이틀,가수
1,1,오래된 노래,스탠딩 에그
1,2,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
1,3,어떻게 지내 (Prod. By VAN.C),오반
1,4,서면역에서,순순희
1,5,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
1,6,Downtown Baby,블루 (BLOO)
1,7,가을밤에 든 생각,잔나비
1,8,너의 번호를 누르고 (Prod. 영화처럼),#안녕
1,9,별을 담은 시 (Ode To The Stars),"마크툽 (MAKTUB), 이라온"
1,10,주저하는 연인들을 위해,잔나비
1,11,축하해 (Prod. By VAN.C),오반
1,12,너밖에 안보여,임재현
1,13,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기
1,14,조금 취했어 (Prod. 2soo),임재현
1,15,선물,멜로망스
1,16,별 보러 가자,적재
1,17,붙잡고 싶어도,#안녕
1,18,입김,10CM
1,19,Way Back Home,숀 (SHAUN)
1,20,나의 사춘기에게,볼빨간사춘기
1,21,혜화동 거리에서,피아노맨
1,22,서툰 이별을 하려해 (Feat.전상근),윤토벤
1,23,어떻게 지내 (답가),런치
1,24,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE)
1,25,폰서트,10CM
1,26,여행,볼빨간사춘기
1,27,스토커,10CM
1,28,첫사랑 (feat.SOLE(쏠)),정준일
1,29,있어줘요,장덕철
1,30,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비
1,31,보자보자,머쉬베놈 (MUSHVENOM)
1,32,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB)
1,33,Dancing Cartoon,볼빨간사춘기
1,34,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽 (MAKTUB)
1,35,우주를 줄게,볼빨간사춘기
1,36,워커홀릭,볼빨간사춘기
1,37,그때는 이 거리가 아름다웠다,잠골버스
1,38,겨울을 걷는다,윤딴딴
1,39,"나만, 봄",볼빨간사춘기
1,40,이 노래가 클럽에서 나온다면,우디 (Woody)
1,41,좋다고 말해,볼빨간사춘기
1,42,그대 없는 밤에 (Feat. 전상근),에이치코드 (H:CODE)
1,43,나만 안되는 연애,볼빨간사춘기
1,44,TOMBOY,혁오 (HYUKOH)
1,45,썸 탈꺼야,볼빨간사춘기
1,46,오늘도 그대만 (Feat. 정동원),T.P RETRO (타디스 프로젝트舊)
1,47,별 보러 갈래?,볼빨간사춘기
1,48,안아줘,정준일
1,49,니가 보고싶은 밤,윤딴딴
1,50,행복,오반
1,51,위잉위잉,혁오 (HYUKOH)
1,52,홍연,안예은
1,53,왜 이리 시끄러운 것이냐 (Prod. SLO),머쉬베놈 (MUSHVENOM)
1,54,바라봐줘요,죠지
1,55,남이 될 수 있을까,"볼빨간사춘기, 스무살"
1,56,너와 나의 세계 (Aurora),"마크툽 (MAKTUB), 이라온"
1,57,잘 지내,적재
1,58,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
1,59,범 내려온다,이날치
1,60,인사,멜로망스
1,61,오늘,오왠 (O.WHEN)
1,62,불면증 (Vocal by 윤하),에피톤 프로젝트
1,63,사랑하는 너에게 (취향저격 그녀 X 스탠딩 에그),스탠딩 에그
1,64,몇 번의 이별,정효빈
1,65,그대가 살아서,정동원
1,66,왔다,머쉬베놈 (MUSHVENOM)
1,67,사랑한다는 말로는,피아노맨
1,68,불 좀 꺼줄래,"주시크 (Joosiq), 오반"
1,69,비행운,문문 (MoonMoon)
1,70,매트리스,10CM
1,71,She (Hidden Track No.V 1월 선정곡),잔나비
1,72,Madeleine Love,CHEEZE (치즈)
1,73,웃으며,"임재현, 문성욱"
1,74,심술,볼빨간사춘기
1,75,Tight,10CM
1,76,동화,멜로망스
1,77,품,볼빨간사춘기
1,78,Blue,볼빨간사춘기
1,79,사랑은 은하수 다방에서,10CM
1,80,Little Star,스탠딩 에그
1,81,이 밤이 다 가기 전에 오늘이 어제가 되기 전에,10CM
1,82,그 밤 그 밤,잔나비
1,83,"SODA (feat. 1ho, 0back)",공기남
1,84,봄이 좋냐??,10CM
1,85,"너, 너",스트레이 (The Stray)
1,86,나랑 아니면,검정치마
1,87,pet,10CM
1,88,어제의 우리들,스탠딩 에그
1,89,고백,델리스파이스
1,90,하염없이 (Feat. 정동원),"T.P RETRO (타디스 프로젝트舊), 학선"
1,91,Paris,"오반, 런치"
1,92,대충 입고 나와,우디 (Woody)
1,93,그냥 집에 있자,우디 (Woody)
1,94,#첫사랑,볼빨간사춘기
1,95,빨간 립스틱,볼빨간사춘기
1,96,널 생각해,원 모어 찬스 (one more chance)
1,97,곡예사,조광일
1,98,알려 좀 주쇼,머쉬베놈 (MUSHVENOM)
1,99,그러나,10CM
1,100,You(=I),볼빨간사춘기
2,1,오래된 노래,스탠딩 에그
2,2,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
2,3,어떻게 지내 (Prod. By VAN.C),오반
2,4,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2,5,서면역에서,순순희
