발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
,너와 함께라면 (Feat.Hae Ong),2H FLASH,,,,
,섬유유연제,SWAY(스웨이),,,,
,호랑풍류가,나래(Narae),,,,
,비가 내려,최지영(Jiyoung Choi),,,,
,외출,롱롱,,,,
,22 ways of Losing you (feat. 가울),루웰,,,,
,직진,나상현씨밴드,,,,
,Pop Out,트러스트(Trust),,,,
,Restart Again (MS ver.),이지혜,,,,
,Start,손석민,,,,
,I WANT YOU!,민병준,,,,
,크리스마스 사랑노래,최윤,,,,
,Dreamer,RE:KIDS DREAM (리키즈 드림),,,,
,IDOL,리키즈 엔젤(RE:KIDS ANGEL),,,,
,빨간색(feat.나딴),요비(YOBi),,,,
,Golden Return (Feat. Innocent Shine),V.T(Vouloir Tout),,,,
,웃는건지 우는건지 (radio edit),서울서울서울,,,,
, (Landing),보이후드(BOYHOOD),,,,
,Battery,12-Mar,,,,
,OZONE,박치,,,,
,Missing You,갓퍼스트(God First),,,,
,Bad Cupid,YOUNITE,,,,
,슬픔이 지나간 자리,이승열,,,,
,처음에 (Solo Version),Dine On,,,,
,To You I Promise,레이디오울 (Lady Owl),,,,
,무지개,박창근,,,,
,유리성,민서 (MINSEO),,,,
,Bad Girl,APOKI,,,,
,GRUNT ZERO ANTHEM,GRUNT ZERO,,,,
,Forever And Always,다니로엘 (Danyloel),,,,
,외톨이야 (Feat. 남도현),롤링쿼츠 (Rolling Quartz),,,,
,Face On Me,박수진,,,,
,TRIGGER,REVOLUTION HEART,,,,
,That's it,PCDM,,,,
,Bling Bling,메모리아(Memoria),,,,
,One Step,서연지,,,,
,파라다이스 (Feat. 김윤재),Musist,,,,
,엉망진창,라슬리(Rasley),,,,
,Airplane,말랑자두,,,,
,Life is beautiful,AB6IX (에이비식스),,,,
,화끈하게 (REMIX),송도근,,,,
,Real Spill,AMOS(아모스),,,,
,One Sided Love,Sebin Kim,,,,
,Generation,tripleS (트리플에스),,,,
,나를 잊지 말아요,김동현,,,,
,Lost,Sondia,,,,
,짝사랑 백신,Ste(스테),,,,
,IM NOT A GIRL,루나키즈 3기(LUNAKIDS 3rd),,,,
,Rum Pum Pum,VIVIZ (비비지),,,,
,플레이야 (Playa),터보트로닉(Turbotronic),,,,
,AMONG US,SCAR,,,,
,Traveler (빛) (feat.UL),신예,,,,
,미지로부터(Fly Away),나나(NANA),,,,
,오후,임수우,,,,
,I Think Of You,플레야(Playa),,,,
,Nope! (Feat. Mela),하연,,,,
,CHEERS,배기표 (PAE KI PYO),,,,
,Stevie Wonderlust_CoverCrush,용범,,,,
,DANCE ON,앨리스 (ALICE),,,,
,Hush(비비안),비비안,,,,
,R.P.G. Shine,나린,,,,
,AMAZON,TFN,,,,
,더스티스타,chilloud,,,,
,가을을 놓지 않으려,뮤뭉,,,,
,"너, 우리",한국외대 동아리연합회,,,,
,Laid Back,조윤진,,,,
,Paradise (feat. HAKI),NILD(닐드),,,,
,Bright Light,Retrofy,,,,
,내 맘에,Danny K,,,,
,사랑,EPEX (이펙스),,,,
,조동,R-Papa,,,,
,백상아리송(한국어),꼬꼬스토이,,,,
,Call Me,올빼미(Owlpemy),,,,
,ATTITUDE,ATBO,,,,
,보라빛 밤 (pporappippam),미미 (오마이걸),,,,
