Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
김효은,김효은,,8,0.225738,0.25774,96.089035
Wonstein,Wonstein,,8,0.248837,0.286241,2044.548705
Yosi,Yosi,,8,0.195493,0.213807,0
NERD,NERD,,2,0.571429,0.625,0
기리보이(GIRIBOY),기리보이(GIRIBOY),,7,0.290761,0.350593,5022.242661
RYUYOUNGMIN,RYUYOUNGMIN,,8,0.194545,0.212465,0
PEEJAY,PEEJAY,,8,0.215726,0.242998,1645.070016
AHWU,AHWU,,8,0.207364,0.225304,0
deemarc,deemarc,,8,0.195732,0.216429,0
D.Owner,D.Owner,,10,0.180337,0.193214,0
Deepflow,Deepflow,,8,0.225738,0.25774,96.089035
그루비룸(GroovyRoom),그루비룸(GroovyRoom),,7,0.245038,0.274077,488.782909
george,george,,8,0.230935,0.258111,0
rossgossage,rossgossage,,10,0.14191,0.158268,3
h3hyeon,h3hyeon,,10,0.169841,0.195427,3.944444
박종우,박종우,,10,0.190391,0.208251,0
MommySon,MommySon,,10,0.166667,0.178699,0
DellyBoi,DellyBoi,,8,0.194075,0.211055,0
SLO,SLO,,8,0.202908,0.218621,0
SkinnyBrown(스키니브라운),SkinnyBrown(스키니브라운),,9,0.20138,0.222277,227.940411
APRO,APRO,,8,0.240991,0.271662,1899.19482
MightyMike,MightyMike,,8,0.194545,0.212465,0
NoIdentity,NoIdentity,,8,0.203422,0.223739,0
DJco.kr,DJco.kr,,8,0.19766,0.215046,0
마미손(MommySon),마미손(MommySon),,9,0.199875,0.221333,639
Pick!,Pick!,,8,0.268844,0.323264,1574.748212
권한얼,권한얼,,10,0.166667,0.178699,0
KimSeungmin,KimSeungmin,,8,0.229286,0.257825,377.671292
홀리뱅(HolyBang),홀리뱅(HolyBang),,9,0.201887,0.221241,1.66369
HIPPO,HIPPO,,8,0.208171,0.223958,0
AVERZI,AVERZI,,9,0.175602,0.189402,0
블루(BLOO),블루(BLOO),,1,1,1,6
JAEHA(재하),JAEHA(재하),,9,0.20368,0.244749,1059.698471
HDBL4CK,HDBL4CK,,8,0.180743,0.192038,0
TOIL,TOIL,,7,0.271574,0.315969,5022.540411
Shyun,Shyun,,8,0.230273,0.263933,207.717742
MILLENNIUM,MILLENNIUM,,2,0.666667,0.75,0
PJNOTREBLE,PJNOTREBLE,,8,0.230273,0.263933,207.717742
Mokyo,Mokyo,,8,0.223849,0.244407,0
Coogie,Coogie,,8,0.210354,0.239416,330.781338
미란이(Mirani),미란이(Mirani),,7,0.26013,0.299288,1562.622799
dsel(디젤),dsel(디젤),,9,0.215726,0.241422,158
프라이머리(Primary),프라이머리(Primary),,9,0.215436,0.240643,32.611803
Konquest,Konquest,,8,0.221685,0.247645,0
유주(YUJU),유주(YUJU),,9,0.18838,0.207194,1.5
로코베리,로코베리,,8,0.231268,0.260188,26.363925
DeVita(드비타),DeVita(드비타),,7,0.238484,0.27036,20.147174
