발매일,타이틀,아티스트,프로듀서,점수
2022.07.11~2022.07.17,Sparkling,청하,"BXN,변무혁",1.9133155
2022.07.04~2022.07.10,Girls,aespa,"Ryan S. Jhun,Hanif Hitmanic Sabzevari,Dennis DeKo Kordnejad,Rodnae'Chikk' Bell,Pontus PJ Ljung,유영진",1.2399636
2022.07.04~2022.07.10,Welcome Summer,윤종신,nan,0.0142482
2022.07.04~2022.07.10,Last Sequence,우주소녀,"Ludwig Lindell,Ronnie Icon,Paulina Cerrilla",0.1289759
2022.07.04~2022.07.10,I LOVE U,WINNER,"강승윤,DEE.P,이찬혁,AFTRSHOK,Rajan Muse,Noerio,Brian U,방예담",0.8383007
2022.07.04~2022.07.10,HOLIDAY,WINNER,"강승윤,강욱진,Diggy",0.8383007
2022.07.04~2022.07.10,10분,WINNER,"강승윤,AiRPLAY,Illjun,Bekuh BOOM",0.8383007
2022.06.27~2022.07.03,"Still Awake (feat. 장동욱, MiRr)",백호,nan,0.0455164
2022.06.27~2022.07.03,열이올라요 (Heart Burn),선미,"김규원,CobiCudi",1.0099323
2022.06.27~2022.07.03,보여줄게,에일리(Ailee),nan,0.0499125
2022.06.27~2022.07.03,해초 스웩 (아기상어 올리와 윌리엄),CL,nan,0.005023
2022.06.27~2022.07.03,Oh My Boy,권은비,nan,0.0125121
2022.06.27~2022.07.03,Stay This Way,프로미스나인,"Justin Reinstein,이우민 'Collapsedone',Anna Timgren",0.1908343
2022.06.20~2022.06.26,FREE SMILE,"이효리, 이찬혁","이찬혁,MILLENNIUM,시황",0.1227764
2022.06.20~2022.06.26,Life′s Too Short (English Ver.),aespa,"Uzoechi Emenike,Becky Hill,Sam Klempner",1.2399636
2022.06.20~2022.06.26,My Move,SAAY,nan,0.009717
2022.06.20~2022.06.26,Flip That,이달의 소녀,"Sure,이수빈,황찬희",0.0271451
2022.06.13~2022.06.19,Never Stop Me,League of Legends,nan,0.0365341
2022.06.13~2022.06.19,Sweet,더보이즈(THE BOYZ),nan,0.0747149
2022.06.13~2022.06.19,텔레파시 (상수리나무 아래 X 양요섭 X 은하),양요섭,nan,0.176553
2022.06.06~2022.06.12,SLIDE,nomad,nan,0.0178088
2022.06.06~2022.06.12,Yet To Come,방탄소년단,nan,3.6502295
2022.05.30~2022.06.05,러브 쉿!,조유리,"The Proof,Moa ""Cazzi Opeia"" Carlebecker,Albin Nordqvist,Maria Marcus",0.097747
