Id,Label,timeset,Weighted Degree,eigencentrality
문킴,문킴,,0.003595,0.014603
ChristofferLauridsen,ChristofferLauridsen,,0.102623,0.060977
임수호,임수호,,0.118433,0.185108
PaulinaCerrilla,PaulinaCerrilla,,0.035764,0.070454
김도다리,김도다리,,0.020272,0.010587
한희준,한희준,,0.002907,0.005976
MGR,MGR,,0.100805,0.018177
2NE1,2NE1,,0.13714,0.013324
JustinTranter,JustinTranter,,0.130375,0.080429
AndreaMartin,AndreaMartin,,0.032539,0.135803
JonatanGusmark,JonatanGusmark,,0.313785,0.175901
미성,미성,,0.011882,0.010952
AOA,AOA,,0.175553,0.026633
JulienMauriceMoore,JulienMauriceMoore,,0.054582,0.064107
Laurell,Laurell,,0.172213,0.059584
Omega,Omega,,0.035402,0.01149
박문치,박문치,,0.356467,0.036808
송재경,송재경,,0.13188,0.034314
싹쓰리(유두래곤,싹쓰리(유두래곤,,0.558813,0.037909
MosPick,MosPick,,0.221278,0.080151
JonHallgren,JonHallgren,,0.002203,0.01252
이찬혁,이찬혁,,0.051649,0.003836
MadisonBeer,MadisonBeer,,0.015483,0.02459
신사동호랭이,신사동호랭이,,0.178473,0.044901
뉴이스트,뉴이스트,,0.048571,0.021225
문정규,문정규,,0.012775,0.004272
브라더수,브라더수,,0.029239,0.037659
세라핀(Seraphine),세라핀(Seraphine),,0.011412,0.013277
Jamil'Digi'Chammas,Jamil'Digi'Chammas,,0.014016,0.135803
코요태,코요태,,0.143311,0.019251
MINO,MINO,,0.143644,0.007031
teamGALACTIKA*,teamGALACTIKA*,,0.193102,0.051411
씨스타,씨스타,,0.184912,0.045704
JakeTorrey,JakeTorrey,,0.024372,0.037593
Harloe,Harloe,,0.009225,0.052307
NCT127,NCT127,,0.370014,0.136231
RyanS.Jhun,RyanS.Jhun,,0.225573,0.072104
아이오아이(I.O.I),아이오아이(I.O.I),,0.017661,0.020061
영광의얼굴들,영광의얼굴들,,0.050652,0.025367
강명신,강명신,,0.161257,0.018188
JisooPark,JisooPark,,0.036814,0.135803
박근태,박근태,,0.091029,0.034314
RayMichaelDjanJr,RayMichaelDjanJr,,0.005571,0.037659
태연(TAEYEON),태연(TAEYEON),,0.641013,0.070084
박우상,박우상,,1.072455,0.061295
AaronFresh,AaronFresh,,0.035363,0.135803
Mr.Franks,Mr.Franks,,0.145763,0.027247
은하,은하,,0.094534,0.070454
FlowBlow,FlowBlow,,0.003595,0.002963
유영진,유영진,,0.632028,0.228425
KevinWhite,KevinWhite,,0.086914,0.135803
MikeDaley,MikeDaley,,0.056314,0.021709
블랙아이드필승,블랙아이드필승,,1.073045,0.163903
EmilyWeisband,EmilyWeisband,,0.229806,0.037659
LauritzChristiansen,LauritzChristiansen,,0.15345,0.059584
SWEETCH,SWEETCH,,0.015895,0.011108
GustavKarlstrom,GustavKarlstrom,,0.015742,0.005128
위키미키(WekiMeki),위키미키(WekiMeki),,0.005813,0.022597
태민(TAEMIN),태민(TAEMIN),,0.113167,0.120167
RolandSpreckley,RolandSpreckley,,0.024372,0.037593
Yuki,Yuki,,0.003595,0.014963
코스믹사운드,코스믹사운드,,0.133694,0.026111
TusharApte,TusharApte,,0.042394,0.027247
AliceVicious,AliceVicious,,0.035764,0.070454
이현승,이현승,,0.121529,0.019043
우주소녀,우주소녀,,0.105742,0.077706
를,를,,0.087858,0.002963
Megatone,Megatone,,0.029737,0.026159
조윤경,조윤경,,0.035764,0.070454
BIGBANG(빅뱅),BIGBANG(빅뱅),,0.313982,0.008514
JinByJin,JinByJin,,0.128721,0.146755
자자(ZAZA),자자(ZAZA),,0.001845,0.002138
EXO,EXO,,2.802658,1
AustinOwens,AustinOwens,,0.005251,0.021339
AndrewChoi,AndrewChoi,,0.004927,0.014963
BUMZU,BUMZU,,0.507595,0.017563
AFSHEEN,AFSHEEN,,0.069541,0.01252
AlexJiaLihHiew,AlexJiaLihHiew,,0.018484,0.029612
Vincenzo,Vincenzo,,0.260459,0.038766
이형탁,이형탁,,0.012557,0.002963
ZigzagNote,ZigzagNote,,0.005887,0.005486
라이언전,라이언전,,0.229458,0.215953
박진영(J.Y.Park),박진영(J.Y.Park),,0.289857,0.063478
창모(CHANGMO),창모(CHANGMO),,0.182812,0.002963
마스터키,마스터키,,0.017083,0.003836
LaurenDyson,LaurenDyson,,0.189728,0.049777
김석찬,김석찬,,0.022707,0.01474
소녀시대-태티서(Girls'Generation-TTS),소녀시대-태티서(Girls'Generation-TTS),,0.062967,0.013122
Halsey,Halsey,,0.229806,0.037659
정호현,정호현,,0.035508,0.080151
마마무(Mamamoo),마마무(Mamamoo),,1.993659,0.084498
라이엇게임즈,라이엇게임즈,,0.091012,0.059983
블락비(BlockB),블락비(BlockB),,0.024842,0.011249
신민경,신민경,,0.044962,0.080151
MajaKeuc,MajaKeuc,,0.015742,0.005128
DanielKim,DanielKim,,0.032494,0.014603
JJean,JJean,,0.035764,0.070454
stainboys,stainboys,,0.002907,0.005167
JohnMajor,JohnMajor,,0.001845,0.135803
IZ*ONE(아이즈원),IZ*ONE(아이즈원),,1.854339,0.538098
전소미,전소미,,0.394149,0.036944
KeiichiroKatayama,KeiichiroKatayama,,0.025644,0.012702
브라운아이드걸스,브라운아이드걸스,,0.001506,0.014573
EllaIsaacson,EllaIsaacson,,0.035402,0.01149
HyukShin,HyukShin,,0.214691,0.195386
LauraBrian,LauraBrian,,0.003595,0.059584
PEEJAY,PEEJAY,,0.051649,0.003836
Rodnae'Chikk'Bell,Rodnae'Chikk'Bell,,0.019076,0.012736
JordanJamesReyes,JordanJamesReyes,,0.035402,0.01149
ArthurJ,ArthurJ,,0.017083,0.003836
G-DRAGON,G-DRAGON,,0.157181,0.004034
AshleyAlisha,AshleyAlisha,,0.346304,0.096625
이우민'Collapsedone',이우민'Collapsedone',,0.318387,0.086696
Ricen'Peas,Ricen'Peas,,0.086914,0.135803
지예준,지예준,,0.018438,0.080151
모모랜드(MOMOLAND),모모랜드(MOMOLAND),,0.30197,0.045069
EVERGLOW(에버글로우),EVERGLOW(에버글로우),,0.164495,0.07511
DavidGuetta,DavidGuetta,,0.057506,0.027247
'Hitman'Bang,'Hitman'Bang,,0.58928,0.180019
코스믹걸,코스믹걸,,0.133694,0.026111
aespa,aespa,,0.247817,0.054281
