Id,Label,timeset,Weighted Degree,eigencentrality
Yuzion(유시온),Yuzion(유시온),,0.13232,0.126615
김하온(HAON),김하온(HAON),,0.458883,0.178024
스카이민혁(Skyminhyuk),스카이민혁(Skyminhyuk),,0.127804,0.251938
HuckleberryP,HuckleberryP,,0.906545,0.562364
피터팬,피터팬,,0.173707,0.064891
plusNONE,plusNONE,,0.013633,0.020846
GroovyRoom,GroovyRoom,,0.392477,0.172039
ganguk,ganguk,,0.014579,0.093086
DeVita,DeVita,,0.054582,0.073562
Choiza,Choiza,,0.026402,0.020846
Poptime,Poptime,,0.41281,0.0432
Minit,Minit,,0.232211,0.328248
ASHISLAND(애쉬아일랜드),ASHISLAND(애쉬아일랜드),,1.015339,0.176433
protonebula,protonebula,,0.00304,0.013064
박경(PARKKYUNG),박경(PARKKYUNG),,0.045557,0.009453
첸(CHEN),첸(CHEN),,0.118516,0.048776
블루(BLOO),블루(BLOO),,0.316654,0.005684
CJAMM,CJAMM,,0.003889,0.061231
Car,Car,,0.008149,0.05556
Noheul,Noheul,,0.173707,0.064891
UNEDUCATEDKID,UNEDUCATEDKID,,0.039484,0.104898
noisemasterminsu,noisemasterminsu,,1.147065,0.562364
UNTITLEDS,UNTITLEDS,,0.066096,0.111426
BewhY,BewhY,,0.218891,0.045243
Wonstein,Wonstein,,0.055997,0.051104
Esta,Esta,,0.114667,0.023679
오반(OVAN),오반(OVAN),,0.01493,0.014146
moocean,moocean,,0.008149,0.05556
Diggy,Diggy,,0.031057,0.008052
PENOMECO,PENOMECO,,0.081671,0.006992
제시(Jessi),제시(Jessi),,0.326685,0.016301
PEEJAY,PEEJAY,,0.238734,0.057518
DelaneyBramlett,DelaneyBramlett,,0.142613,0.014318
FUTUREBOUNCE,FUTUREBOUNCE,,0.039206,0.008052
JayPark,JayPark,,0.055043,0.38064
SkinnyBrown,SkinnyBrown,,0.088053,0.033248
싸이(PSY),싸이(PSY),,0.271787,0.016301
Jhnovr,Jhnovr,,0.005239,0.09733
유희열,유희열,,0.004975,0.006992
Ryo,Ryo,,0.024442,0.0432
lIlBOI,lIlBOI,,0.03175,0.093086
LeeYoung-ji,LeeYoung-ji,,0.011805,0.045185
dsel(디젤),dsel(디젤),,0.061677,0.033054
박재범(JayPark),박재범(JayPark),,0.325472,0.487237
Loco,Loco,,0.123036,0.05556
BOYCOLD,BOYCOLD,,0.200448,0.275898
JvckiWai(재키와이),JvckiWai(재키와이),,0.381967,0.397468
김건우,김건우,,0.043872,0.008972
BewhY(비와이),BewhY(비와이),,0.102129,0.0158
김태훈,김태훈,,0.004975,0.006992
Zion.T,Zion.T,,0.173918,0.241061
KhundiPanda(쿤디판다),KhundiPanda(쿤디판다),,0.14475,0.08464
Dvwn,Dvwn,,0.010408,0.0432
Mirani,Mirani,,0.024824,0.034734
CosmicBoy,CosmicBoy,,0.011132,0.09733
SeoulMetroBoomin,SeoulMetroBoomin,,0.019524,0.140359
StayTuned,StayTuned,,0.019068,0.005939
쿠기(Coogie),쿠기(Coogie),,0.142069,0.254447
JBird,JBird,,0.114667,0.023679
devita,devita,,0.073571,0.027549
Vangdale,Vangdale,,0.023024,0.319409
Leellamarz,Leellamarz,,0.263082,0.041986
원슈타인(Wonstein),원슈타인(Wonstein),,0.246682,0.291955
헤이즈(Heize),헤이즈(Heize),,0.734949,0.106211
