Id,Label,timeset,Weighted Degree,eigencentrality
적재(Jukjae),적재(Jukjae),,0.32117,0.572523
서익주,서익주,,0.010567,0.051844
그_냥,그_냥,,0.003928,0.016031
크라잉넛(CRYINGNUT),크라잉넛(CRYINGNUT),,0.004327,0.008536
REPROJECT,REPROJECT,,0.014402,0.083328
BrianU,BrianU,,0.007141,0.025561
이재성,이재성,,0.007778,0.041422
#안녕,#안녕,,0.220324,0.300006
우효,우효,,0.002917,0.016031
이날치(LEENALCHI),이날치(LEENALCHI),,0.011979,0.008536
마크툽,마크툽,,0.249426,0.077497
Thaibeats,Thaibeats,,0.006878,0.016031
숀,숀,,0.086907,0.055634
Ye-Yo,Ye-Yo,,0.014189,0.025561
레터플로우(Letterflow),레터플로우(Letterflow),,0.009888,0.23235
에이치코드(H:CODE),에이치코드(H:CODE),,0.261671,0.044755
찬현,찬현,,0.006878,0.016031
정준일(JungJoonIl),정준일(JungJoonIl),,0.081188,0.022997
임영우,임영우,,0.05712,0.358641
센티멘탈시너리,센티멘탈시너리,,0.011647,0.025561
Smyers,Smyers,,0.005185,0.256326
스탠딩에그,스탠딩에그,,0.06082,0.106511
한희준,한희준,,0.063404,0.025561
10CM(십센치),10CM(십센치),,1.227278,1
스무살(20YEARSOFAGE),스무살(20YEARSOFAGE),,0.071945,0.290271
죠지(george),죠지(george),,0.044486,0.134776
LAGOON,LAGOON,,0.09947,0.358641
서정일,서정일,,0.00071,0.016031
크래커,크래커,,0.002718,0.008536
뜨거운감자(HotPotato),뜨거운감자(HotPotato),,0.016089,0.019258
T.PRETRO(타디스프로젝트舊),T.PRETRO(타디스프로젝트舊),,0.171033,0.451987
2soo,2soo,,0.094312,0.211053
다운,다운,,0.007495,0.016031
공기남,공기남,,0.032391,0.016031
O.YEON,O.YEON,,0.00279,0.104645
김장원,김장원,,0.000582,0.016031
권브라더스,권브라더스,,0.014189,0.025561
TripleSynergy,TripleSynergy,,0.198729,0.047963
JamesShay,JamesShay,,0.005185,0.256326
반하나,반하나,,0.004721,0.059553
새봄,새봄,,0.010487,0.008536
가을방학(Autumnvacation),가을방학(Autumnvacation),,0.001954,0.008536
송호일,송호일,,0.044667,0.069218
오왠(O.WHEN),오왠(O.WHEN),,0.235817,0.276076
신현희와김루트(SEENROOT),신현희와김루트(SEENROOT),,0.001419,0.022997
Francis,Francis,,0.025898,0.069218
HYUNKI,HYUNKI,,0.000468,0.025561
OhashiTrio,OhashiTrio,,0.001555,0.083328
김한주,김한주,,0.008381,0.016031
가현,가현,,0.003129,0.025561
조대민,조대민,,0.014812,0.045277
권영찬,권영찬,,0.010615,0.016031
Fuxxy,Fuxxy,,0.007778,0.041422
김훈식,김훈식,,0,0
박종득,박종득,,0.045743,0.09336
우디(Woody),우디(Woody),,0.372094,0.170117
Veltz,Veltz,,0.005185,0.256326
오지현,오지현,,0.001758,0.051844
JosephK,JosephK,,0.007141,0.025561
한국인,한국인,,0.000807,0.28217
런치(LUNCH),런치(LUNCH),,0.120686,0.618984
바닐라맨,바닐라맨,,1.139476,0.802319
Mooney,Mooney,,0.005185,0.256326
구름,구름,,0.05436,0.083328
스웨덴세탁소(SwedenLaundry),스웨덴세탁소(SwedenLaundry),,0.009888,0.23235
고범준,고범준,,0.050811,0.031695
이주형,이주형,,0.00217,0.17899
TonyDoogan,TonyDoogan,,0.002917,0.016031
마인드유,마인드유,,0.001405,0.044755
멜로망스(MeloMance),멜로망스(MeloMance),,0.303588,0.047375
윤딴딴,윤딴딴,,0.128597,0.051844
런치,런치,,0.022614,0.409321
박가영,박가영,,0.007033,0.227711
달총,달총,,0.081522,0.083328
캥거루,캥거루,,0.00227,0.123066
임재현(LimJaeHyun),임재현(LimJaeHyun),,0.34016,0.668247
Avalon8,Avalon8,,0.010931,0.296434
주시크(Joosiq),주시크(Joosiq),,0.063445,0.215379
J.Litz,J.Litz,,0.063308,0.240463
정혜원,정혜원,,0.05712,0.358641
NODAY,NODAY,,0.020818,0.28217
바닐라어쿠스틱(VanillaAcoustic),바닐라어쿠스틱(VanillaAcoustic),,0.011517,0.23235
김도형,김도형,,0.114427,0.089867
원모어찬스(onemorechance),원모어찬스(onemorechance),,0.02181,0.008536
박문치,박문치,,0.041446,0.329107
매드클라운,매드클라운,,0.014189,0.025561
성수용,성수용,,0.188847,0.28217
정바비,정바비,,0.001954,0.008536
박중훈,박중훈,,0.014786,0.058862
루빈,루빈,,0.000119,0.016031
이래언,이래언,,0.033231,0.048668
전우철,전우철,,0.000807,0.051844
신현희,신현희,,0.00071,0.016031
로브,로브,,0.044667,0.069218
이승표,이승표,,0.063404,0.025561
SOUNDPALETTE(사운드팔레트),SOUNDPALETTE(사운드팔레트),,0.009387,0.044755
문문(MoonMoon),문문(MoonMoon),,0.081995,0.022997
WH3N,WH3N,,0.010931,0.296434
윤형로,윤형로,,0.00279,0.016031
마크툽(MAKTUB),마크툽(MAKTUB),,0.845732,0.110274
순순희(SOONSOONHEE),순순희(SOONSOONHEE),,0.041693,0.138617
장경준,장경준,,0.003211,0.089867
디어,디어,,0.001858,0.059553
스탠딩에그(StandingEgg),스탠딩에그(StandingEgg),,0.334985,0.888325
구현모,구현모,,0.007141,0.025561
안성현,안성현,,0.068098,0.471266
재희,재희,,0.000468,0.025561
YOSEP),YOSEP),,0.006069,0.025561
잔나비최정훈,잔나비최정훈,,0.114427,0.089867
오반(OVAN),오반(OVAN),,0.415704,0.869812
학선,학선,,0.163692,0.482847
B.a.B,B.a.B,,0.079522,0.008536
민연재,민연재,,0.025898,0.069218
김지수,김지수,,0.035096,0.180467
최유리(ChoiYuRee),최유리(ChoiYuRee),,0.009888,0.23235
Egg2,Egg2,,0.079299,0.256326
KozyPop,KozyPop,,0.013756,0.022997
하은요셉(HAEUN,하은요셉(HAEUN,,0.006069,0.025561
이날치,이날치,,0.011979,0.008536
추대관,추대관,,0.071608,0.17899
VIP,VIP,,0.061711,0.044755
박기훈,박기훈,,0.023397,0.28217
이현정,이현정,,0.001858,0.059553
정지찬,정지찬,,0.02181,0.008536
스트레이,스트레이,,0.011647,0.025561
공기남(Airman),공기남(Airman),,0.048741,0.022997
CSP,CSP,,0.017841,0.409321
스트레이(TheStray),스트레이(TheStray),,0.034941,0.044755
이준호,이준호,,0.00215,0.037839
이아일,이아일,,0.020818,0.28217
Reynolds,Reynolds,,0.005185,0.256326
안예은(AHNYEEUN),안예은(AHNYEEUN),,0.048219,0.008536
Megatone,Megatone,,0.042219,0.17899
Ryo,Ryo,,0.007495,0.016031
박민지,박민지,,0.198729,0.047963
김동휘,김동휘,,0.093088,0.069218
