Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
태연(TAEYEON),태연(TAEYEON),,12,0.187696,0.223617,1559.529885
G.고릴라,G.고릴라,,3,0.461538,0.527778,0
LauraBrian,LauraBrian,,12,0.181165,0.214232,0
최슬기,최슬기,,15,0.12925,0.148688,0
보아,보아,,13,0.154816,0.175235,0
JordanJamesReyes,JordanJamesReyes,,13,0.14393,0.163862,0
윤종신,윤종신,,2,0.666667,0.75,8
강다니엘,강다니엘,,13,0.153723,0.171874,1974.722351
GregBonnick,GregBonnick,,13,0.173049,0.21772,230.539095
김석찬,김석찬,,13,0.133949,0.153274,238.5
마스터키,마스터키,,2,0.6,0.666667,0
KeiichiroKatayama,KeiichiroKatayama,,12,0.153035,0.170389,0
Harloe,Harloe,,16,0.100885,0.124504,494.697219
Tiyon'TC'Mack,Tiyon'TC'Mack,,13,0.133874,0.15296,0
자자(ZAZA),자자(ZAZA),,2,0.666667,0.75,0
MNEK,MNEK,,11,0.1916,0.220151,0
JensonVaughan,JensonVaughan,,13,0.143671,0.162296,0
Asia'hEpperson,Asia'hEpperson,,13,0.172302,0.213719,0
Deview,Deview,,13,0.151871,0.1682,0
WOOZI,WOOZI,,11,0.155419,0.170383,0
화사,화사,,13,0.13639,0.159397,3.488095
LauritzChristiansen,LauritzChristiansen,,12,0.181165,0.214232,0
TheoLawrence,TheoLawrence,,15,0.129111,0.14834,0
'Hitman'Bang,'Hitman'Bang,,10,0.217727,0.2613,6287.303477
JohnMajor,JohnMajor,,13,0.172302,0.213719,0
highseAson,highseAson,,3,0.571429,0.666667,0.6
CharlotteWilson,CharlotteWilson,,11,0.170463,0.192638,0
WINNER,WINNER,,13,0.130376,0.147481,4245.333333
Apink(에이핑크),Apink(에이핑크),,12,0.167365,0.19657,1146.097453
Fuxxy,Fuxxy,,11,0.167132,0.187925,0
GraceGachotsaka,GraceGachotsaka,,14,0.134475,0.152213,0
진,진,,12,0.15767,0.180806,0
LudwigLindell,LudwigLindell,,11,0.189929,0.22489,385.018753
히든사운드,히든사운드,,2,0.571429,0.625,0
SEION,SEION,,13,0.143413,0.159685,0
moonc,moonc,,12,0.153035,0.170389,0
WannaOne(워너원),WannaOne(워너원),,1,1,1,1
위키미키(WekiMeki),위키미키(WekiMeki),,12,0.167483,0.189166,478
CameronNeilson,CameronNeilson,,11,0.170463,0.192638,0
NANO,NANO,,2,0.571429,0.625,0
EllaIsaacson,EllaIsaacson,,13,0.14393,0.163862,0
SuperM,SuperM,,12,0.15988,0.179827,478
MaxxSong,MaxxSong,,11,0.186381,0.214562,0
R.Tee,R.Tee,,14,0.119095,0.140627,12.904762
DavidStewart,DavidStewart,,12,0.15767,0.180806,0
JarahGibson,JarahGibson,,13,0.172302,0.213719,0
라도,라도,,11,0.198426,0.237859,1596.682046
SebastianThott,SebastianThott,,12,0.181165,0.214232,0
Laurell,Laurell,,12,0.181165,0.214232,0
Rodnae'Chikk'Bell,Rodnae'Chikk'Bell,,13,0.158086,0.177771,0
DEEZ,DEEZ,,13,0.14524,0.167234,0
Kobee,Kobee,,11,0.170463,0.192638,0
MikeWoods,MikeWoods,,13,0.172302,0.213719,0
창모(CHANGMO),창모(CHANGMO),,2,0.666667,0.75,0
전소연,전소연,,16,0.100715,0.118937,0
Caesar&Loui,Caesar&Loui,,11,0.186381,0.214562,0
KarenPoole,KarenPoole,,13,0.173049,0.21772,180.791916
Postino,Postino,,3,0.461538,0.583333,0
FUTUREBOUNCE,FUTUREBOUNCE,,14,0.119036,0.139235,0
티아라,티아라,,12,0.153821,0.179924,203.157175
Michel'Lindgren'Schulz,Michel'Lindgren'Schulz,,10,0.211013,0.258757,6867.056938
GustavKarlstrom,GustavKarlstrom,,13,0.119036,0.127833,0
Avenue52,Avenue52,,11,0.209904,0.249406,1681.47614
DavidBrown,DavidBrown,,13,0.172302,0.213719,0
AllenGordonJr,AllenGordonJr,,13,0.172302,0.213719,0
용배,용배,,9,0.228967,0.265258,9004.42596
MUNA,MUNA,,11,0.194557,0.223576,0
Daniel'Obi'Klein,Daniel'Obi'Klein,,13,0.172302,0.213719,0
SamanthaHarper,SamanthaHarper,,12,0.15767,0.180806,0
DK,DK,,13,0.172302,0.213719,0
KaelinEllis,KaelinEllis,,13,0.172302,0.213719,0
Kio장기호,Kio장기호,,12,0.172924,0.194688,0
라이언전,라이언전,,11,0.211572,0.258473,5513.353245
NoisyCitizen,NoisyCitizen,,10,0.192369,0.21725,0
LevenKali,LevenKali,,13,0.173049,0.21772,942
이후상,이후상,,11,0.163147,0.18032,0
웅킴,웅킴,,9,0.227014,0.265383,4251.376195
이찬혁,이찬혁,,2,0.6,0.666667,0
Timothy'Bos'Bullock,Timothy'Bos'Bullock,,13,0.142644,0.163262,0
안지영,안지영,,15,0.12925,0.148688,0
PDOGG,PDOGG,,10,0.195351,0.228036,1325.250818
JoeLawrence,JoeLawrence,,12,0.181165,0.214232,0
AWright,AWright,,11,0.1916,0.220151,0
stainboys,stainboys,,13,0.143499,0.156694,0
SelenaGomez,SelenaGomez,,14,0.119036,0.139235,0
KevinWhite,KevinWhite,,13,0.172302,0.213719,0
TM,TM,,15,0.107786,0.120427,0
이해솔,이해솔,,11,0.19599,0.232741,835.704964
린다G,린다G,,2,0.727273,0.8125,4.666667
권은비,권은비,,11,0.194557,0.223576,0
AliceVicious,AliceVicious,,10,0.192369,0.21725,0
임현식,임현식,,2,0.5625,0.611111,20
효린,효린,,2,0.666667,0.75,0
아이유,아이유,,11,0.193927,0.24682,13955.64339
JJean,JJean,,10,0.192369,0.21725,0
JaydenHenry,JaydenHenry,,13,0.142644,0.163262,0
Ondine,Ondine,,13,0.151871,0.1682,0
이현도,이현도,,2,0.666667,0.75,7.6
TommyBrown,TommyBrown,,14,0.119036,0.139235,0
AustinOwens,AustinOwens,,13,0.149407,0.172762,0
룩원,룩원,,11,0.194557,0.223576,0
핫띠,핫띠,,13,0.143327,0.159163,0
이채규,이채규,,12,0.162483,0.188195,0
RayMichaelDjanJr,RayMichaelDjanJr,,12,0.15767,0.180806,0
엄지,엄지,,10,0.192369,0.21725,0
TEDDY,TEDDY,,12,0.151967,0.177978,7913.325268
ChloeLatimer,ChloeLatimer,,12,0.184799,0.22387,1565.742279
투모로우바이투게더,투모로우바이투게더,,11,0.208988,0.256032,12835.88818
DemJointz,DemJointz,,13,0.172302,0.213719,0
STAYC(스테이씨),STAYC(스테이씨),,12,0.166204,0.190203,1.457143
이근호,이근호,,3,0.461538,0.527778,0
Ollounder,Ollounder,,4,0.346154,0.425926,0
제국의아이들(ZE:A),제국의아이들(ZE:A),,14,0.126921,0.140347,1900
MZMC,MZMC,,13,0.173049,0.21772,942
비투비포유,비투비포유,,3,0.5,0.648148,21
문별,문별,,13,0.136312,0.158006,0
러블리즈,러블리즈,,1,1,1,1
Andreas?berg,Andreas?berg,,11,0.235497,0.298995,18562.73849
JonHallgren,JonHallgren,,14,0.134475,0.152213,0
노주환,노주환,,10,0.192369,0.21725,0
이트라이브,이트라이브,,13,0.137014,0.15331,955
LEEZ,LEEZ,,4,0.346154,0.425926,0
Rado,Rado,,13,0.143327,0.159163,0
라이엇게임즈,라이엇게임즈,,16,0.10097,0.127287,1449.697219
earattack,earattack,,11,0.170463,0.192638,0
Elum,Elum,,11,0.194557,0.223576,0
비룡),비룡),,2,0.727273,0.8125,4.666667
거북이,거북이,,1,1,1,1
블락비(BlockB),블락비(BlockB),,15,0.123454,0.138813,2342.825654
강명신,강명신,,12,0.153526,0.173277,151.365514
문킴,문킴,,13,0.133874,0.15296,0
Arston,Arston,,12,0.15767,0.180806,0
Nmore,Nmore,,11,0.196473,0.229422,2525.928573
LydiaPaek,LydiaPaek,,14,0.119036,0.139235,0
송재경,송재경,,12,0.162483,0.188195,0
유건형,유건형,,13,0.143671,0.157738,0
