가수,점수
샘김(SamKim),41.021945
보이비(BoiB),41.021945
스카이민혁(Skyminhyuk),40.0824847
HashSwan(해쉬스완),39.9926622
Chin(친),39.625
CK(씨케이),39.625
YunB(윤비),39.1716884
LeeYoung-ji,37.526715
KhundiPanda(쿤디판다),36.9139292
먼치맨(MUNCHMAN),36.9139292
IMEANSEOUL,34.6729295
FLIP_00,34.6729295
Hyeon,34.6729295
Sean,34.6729295
KIRIN,34.610652
WoodieGochild,33.7003901
YUNHWAY,31.5197994
Godic,29.3
GLOVE,29.3
DPRCREAM,29.3
DPRLIVE,29.3
VerbalJint,27.5957746
Gsoul,26.9368866
정기고(Junggigo),26.6687262
Dbo,24.2496248
최엘비(CHOILB),24.0499063
OsshunGum(오션검),22.0331028
맥대디(Mckdaddy),21.7083066
김유정(KimYoujung),21.5455685
Unsinkable,21.0219251
이하이,20.6909544
뱃사공(Bassagong),20.3589327
FIFTYFIVE,19.263043
SanE(산이),19.25
프라이머리(Primary),18.1159015
SeoulMetroBoomin,18.1016661
이성경(Leesungkyung),17.734447
에이체스(A-Chess),16.198468
JWay,15.9726472
hoiwave,15.8043304
KidWine,15.7044127
Yosi,15.164136
Dhard,14.61
KWAKZ,13.710248
로코베리,13.1819625
EK,12.0566344
Lellamarz,12.0549612
ZICO,12.0087418
첸(CHEN),11.85
Yunu,11.610057
HwaSa,11.6082324
VINXEN,11.2211366
지소울(GSoul),10.881966
로스(Los),10.073587
SOLE(쏠),10.073587
DeVita(드비타),10.073587
프리마비스타,8.7501915
PatVanDyke,8.7501915
lIlBOI,7.1598315
FlashNote,6.996116
SUPERBEE,6.996116
Junggigo,6.7703295
BEATBOXDG,6.7703295
김효은(Keemhyoeun),6.6964482
강서빈(YUNGCHENS),6.4636345
스월비(Swervy),6.2590004
허클베리피(HuckleberryP),6.2590004
조원우(Jowonu),6.2590004
GEMINI,5.8568545
블랙넛(BlackNut),5.4944538
윤상,5.2886262
유재석,5.2886262
홍소진,5.2886262
적재,5.2886262
권영찬,5.2886262
SamKim,5.2886262
유희열,5.2886262
이상순,5.2886262
Baggie,5.1464295
D.Ark,5.1464295
브린(Bryn),4.400588
TAKUWA(타쿠와),4.400588
화사(HwaSa),3.5880486
키드킹(KiddKing),3.5174285
블루(BLOO),3.5
badassgatsby,2.9418418
CurtisF,2.6191652
YunB,2.6191652
KIRIN(기린),2.3762492
Zoorumpug,2.038166
딘딘(DINDIN),2
h3hyeon,1.972222
CoaWhite,1.9336574
KyoLee,1.8796126
김성욱,1.8796126
OLIVER,1.8796126
레이나(Raina),1.75
유주(YUJU),1.5
rossgossage,1.5
trrst,1.400713
WooWonjae,1.3367516
도넛맨(Donutman),1.2949508
긱스(Geeks),1.2
Smob,1.1262123
Yuzion(유시온),1.125
DJWegun(DJ웨건),1.055267
VAN.C,1.05
피아노맨,1.05
코스믹사운드,1
SanE,1
Swings,0.9805296
TigerJK,0.9
Zoey,0.9
홀리뱅(HolyBang),0.831845
nomad,0.75
Ontheroad,0.75
하루히,0.6
Laptopboyboy,0.6
LiamK,0.6
비비(BIBI),0.575
MC스나이퍼(MCSniper),0.5
B.I(비아이),0.5
SupremeTeam(슈프림팀),0.4
김건우,0.4
송기홍,0.4
영준(YOUNGJUN),0.4
BlueWhale,0.3960812
TANGTHEAWESOME,0.3960812
버벌진트(VerbalJint),0.3918458
민켄,0.25
리시,0.25
이해리(다비치),0.25
최지호,0.25
한해(HANHAE),0.25
김진표(JP),0.225
FUTUREBOUNCE,0.2
ZENETHEZILLA,0.1928572
TouchtheSky,0.125
antisocialkid,0.125
Theevoni,0.125
DEREK,0.125
FRANKIEONTHEGUITAR,0.125
PULLIK(박준호),0.1
DPRCREAM(디피알크림),0.1
은지원(EunJiwon),0.1
임수(ImSoo),0.0999999
오반(OVAN),0.0999999
YoBoy,0.0833335
RohYoonha,0.0833335
펭수(Pengsoo),0.075
타이거JK(TigerJK),0.075
비지(Bizzy),0.075
SEOMINGYU(서민규),0.0666666
강민수(AQUINAS),0.0666666
BLOO,0
BonnieBramlett,0
COE,0
Score(13),0
Hangzoo,0
MommySon,0
PARKKYUNG,0
chilly,0
dnss,0
EddyPauer,0
IlBOI,0
Megatone(13),0
DAVII,0
HashSwan,0
1of1,0
U-Tum,0
IOAH,0
wherechoi,0
Blue.D,0
JINBO,0
KelbyClarke,0
Colde,0
IanPurp,0
ROCKITPRODUCTIONS,0
AirAir,0
Dvwn,0
HOTCHKISS,0
monoman,0
DevineChannel,0
IlseyJuber,0
JBird,0
Jetti,0
박성준,0
BigPie,0
J.Litz,0
DelaneyBramlett,0
Esta,0
youra,0
이수호,0
WelcomeIan,0
Svng,0
NOD,0
Ye-Yo!,0
COUPD'ETAT,0
JISU,0
KRAK,0
브라더수,0
권세영,0
ELCAPITXN,0
protonebula,0
양세형,0
AVIN,0
ChaChaMalone,0
Gist(윤현선),0
MadeByMe,0
CosmicBoy,0
nafla,0
OLNL(오르내림),0
Neal,0
김농밀(nongmillkim),0
DJ투컷,0
Doplamingo,0
2xxx,0
루이,0
sokodomo,0
ganguk,0
UNTITLEDS,0
Sojeso,0
Ryo,0
Tablo,0
WOODZ,0
iHwak,0
TEXU,0
Poptime,0
DINDIN,0
Jclef,0
Rohann(이로한),0
DellyBoi,0
DK,0
MoonMean,0
Mook,0
Truthislonely,0
HAON,0
LeonRussell,0
Choiza,0
HyukShin,0
plusNONE,0
GLEAM,0
SHIMMYTWICE,0
Vendy,0
CJAMM,0
Beenzino,0
방인재,0
SUGA,0
KeroOne,0
HYESUNG,0
PHILL,0
BIBI,0
vibin,0
Catchup,0
Viann,0
SUMIN,0
devita,0
OBSN,0
thegarden,0
Wavyburnz,0
지오,0
Noden,0
YerinBaek,0
김태훈,0
박종우,0
Konquest,0
moocean,0
전병일,0
윤미래,0
APBoi,0
강욱진,0
ampoff,0
Make4Play,0
AHWU,0
Diggy,0
권한얼,0
Spray,0
PandaGomm,0
Car,0
프리스타일(FreeStyle),0
개리,0
Untell,0
7Aurelius,0
Mantra,0
Louie,0
서태지,0
rubyboyyisthegenius,0
Kidstone,0
Muddthestudent,0
Lean$moke,0
youngkimj,0
SMHOfSMGS,0
Bobblehead,0
BMTJ,0
MoonSujin,0
stevenc4stle,0
KETAMcCUE,0
Clayheart,0
KOONTA,0
i,0
QUIZQUIZ,0
AiRPLAY,0
DONNA,0
Off,0
606gus,0
박인영,0
ChillinHomie,0
안성현,0
J;KEY,0
Acade,0
27corazones,0
Kleine,0
0set,0
willy,0
Perro,0
B.I,0
정인,0
Big$hot,0
CK,0
VENKO,0
BE'O,0
H4RDY,0
SoundKim,0
Illjun,0
JumalofSMGS,0
Zbeatz,0
DAUL,0
ZZINSOO,0
커즈디,0
TheKontrabandz,0
이찬혁,0
SIU,0
Cribs,0
KVHN,0
JohnJohn,0
KevinJacoutot,0
NERD,0
RYUYOUNGMIN,0
deemarc,0
D.Owner,0
george,0
MightyMike,0
