Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
안영민,안영민,,2,0.6,0.666667,0
정동원(JeongDongWon),정동원(JeongDongWon),,2,0.727273,0.8125,14.1
B.a.B,B.a.B,,1,1,1,0
조성태,조성태,,2,0.6,0.666667,0
이택승,이택승,,10,0.186207,0.251382,0
디어,디어,,2,0.529412,0.555556,0
카더가든,카더가든,,2,0.6,0.666667,0
오왠,오왠,,4,0.355932,0.412698,0
권상진,권상진,,2,0.526316,0.55,0
권영찬,권영찬,,4,0.34375,0.416667,0
빌리어코스티,빌리어코스티,,4,0.355932,0.412698,0
이요한,이요한,,4,0.488372,0.527778,104
ampoff,ampoff,,4,0.366667,0.439394,0
요한,요한,,4,0.4375,0.511905,0
L.NDN,L.NDN,,2,0.6,0.666667,0
김윤주,김윤주,,2,0.666667,0.75,0
정바비,정바비,,1,1,1,0
기리보이,기리보이,,4,0.366667,0.439394,0
프롬,프롬,,2,0.6,0.666667,0
Avalon8,Avalon8,,10,0.203008,0.318048,12.5
DPRCREAM,DPRCREAM,,1,1,1,0
YOSEP),YOSEP),,2,0.6,0.666667,0
이문기,이문기,,2,0.6,0.666667,0
장기하와얼굴들,장기하와얼굴들,,2,0.666667,0.75,0
서동환,서동환,,2,0.529412,0.555556,0
강화성,강화성,,4,0.34375,0.416667,0
임재현(LimJaeHyun),임재현(LimJaeHyun),,2,0.714286,0.8,6.5
크래커,크래커,,1,1,1,0
검정치마(TheBlackSkirts),검정치마(TheBlackSkirts),,1,1,1,0
김지수,김지수,,10,0.2,0.293357,0
밤그늘,밤그늘,,2,0.526316,0.55,0
그리즐리,그리즐리,,4,0.333333,0.416667,0
김춘추,김춘추,,4,0.355932,0.412698,0
마인드유(MINDU),마인드유(MINDU),,10,0.174194,0.31017,75
VAN.C,VAN.C,,4,0.466667,0.553571,7.971429
고범준,고범준,,2,0.75,0.833333,2
HYUNKI,HYUNKI,,11,0.149171,0.223679,0
마크툽,마크툽,,2,0.571429,0.625,0
박가영,박가영,,2,0.666667,0.75,0
유승우,유승우,,2,0.666667,0.75,0
크래커(CRACKER),크래커(CRACKER),,1,1,1,0
박문치,박문치,,2,0.55,0.590909,30
안지영,안지영,,10,0.2,0.293357,0
문성욱(MoonSeongWook),문성욱(MoonSeongWook),,4,0.454545,0.616667,0.5
오반,오반,,4,0.466667,0.583333,12.716667
로브,로브,,2,0.571429,0.625,0
10CM,10CM,,6,0.304348,0.366667,0
윈드밀,윈드밀,,2,0.571429,0.625,0
차세정,차세정,,2,0.666667,0.75,0
유영현,유영현,,2,0.533333,0.5625,0
