발매일,타이틀,아티스트,프로듀서,점수
2022.02.14~2022.02.20,마라톤,로키드 (Lokid),"로키드,Tmlm",0.021262
2022.02.14~2022.02.20,2022년 02월 22일,장기하,장기하,7.32e-05
2022.02.07~2022.02.13,DREAMLIKE,PL(피엘),"PL,a.feel",0.001402
2022.02.07~2022.02.13,나는 언제나 이제 시작일 뿐이었다,크루셜스타 (CRUCiALSTAR),nan,0.0029756
2022.01.31~2022.02.06,사랑한다는 말로는 (Feat.주시크 (Joosiq)),피아노맨,"숀, 안성현",0.2976332
2022.01.24~2022.01.30,반복 (repeat),줍에이(Joob A),"줍에이,watercolor,가현,Acade,유월",0.0182644
2022.01.24~2022.01.30,그 겨울의 우리,빌리어코스티,nan,0.0503894
2022.01.24~2022.01.30,쾌락만세,캡틴락,nan,0.0012981
2022.01.10~2022.01.16,2022 (Feat. 에이체스),크루셜스타 (CRUCiALSTAR),nan,0.0029756
2022.01.10~2022.01.16,고요해,로키드 (Lokid),"로키드,SIM2",0.021262
2022.01.03~2022.01.09,Beige coat,그리즐리 (Grizzly),"그리즐리,AVIN,SLAY,CHASE,Creed",0.0041354
nan,메롱해치,안예은,nan,0.0284545
nan,낙원 (Last Eden),마크툽(MAKTUB),nan,0.9565334
nan,"달 속엔 그대가 있나요, 그대 안엔 달이 있는데 (Moon inside Thee)",마크툽(MAKTUB),nan,0.9565334
