Id,Label,timeset,Weighted Degree,eigencentrality
Ohway!,Ohway!,,0.078821,0.012403
최진석,최진석,,0.004462,0.008496
MarkusLindell,MarkusLindell,,0.106395,0.065264
WannaOne(워너원)-트리플포지션,WannaOne(워너원)-트리플포지션,,0.021118,0.01083
NCT127,NCT127,,0.036913,0.026296
아테나,아테나,,0.31924,0.037631
TENZO,TENZO,,0.007694,0.012766
FUTUREBOUNCE,FUTUREBOUNCE,,0.519627,0.019776
Ricen'Peas,Ricen'Peas,,0.282153,0.126881
Megatone,Megatone,,0.114143,0.013457
MajaKeuc,MajaKeuc,,0.018516,0.004382
윤종신,윤종신,,0.041112,0.006704
12!3,12!3,,0.022957,0.002598
화사(HwaSa),화사(HwaSa),,0.761256,0.034867
AlbiAlbertsson,AlbiAlbertsson,,0.13424,0.070252
MichaelPollack,MichaelPollack,,0.018298,0.008496
MatthieuTosi,MatthieuTosi,,0.009197,0.008357
AndrewBazzi,AndrewBazzi,,0.349412,0.126881
한희준,한희준,,0.006517,0.004839
MosPick,MosPick,,0.246847,0.012766
임성훈,임성훈,,0.127269,0.001918
WOOZI,WOOZI,,0.94059,0.012403
Homegrown,Homegrown,,0.023025,0.126881
AndreaMartin,AndreaMartin,,0.022957,0.126881
유엔,유엔,,0.025818,0.002598
세븐틴,세븐틴,,2.757397,0.052135
김민,김민,,0.0416,0.028553
PRODUCEX101,PRODUCEX101,,0.200618,0.03353
RoyalDive,RoyalDive,,0.105669,0.031649
KristaSiegfrids,KristaSiegfrids,,0.086359,0.021684
브라운아이드걸스,브라운아이드걸스,,0.189976,0.023169
2NE1,2NE1,,0.03529,0.011363
브라더수,브라더수,,0.113443,0.053544
iKON,iKON,,0.182111,0.01506
iHwak,iHwak,,0.184288,0.019983
Poptime,Poptime,,0.134766,0.020568
뉴이스트,뉴이스트,,0.581949,0.058655
Keynon'KC'Moore,Keynon'KC'Moore,,0.1171,0.14015
이상호,이상호,,0.092069,0.050236
GOT7(갓세븐),GOT7(갓세븐),,0.043658,0.044767
Ollipop,Ollipop,,0.24056,0.106716
이형주,이형주,,0.013563,0.002598
MZMC,MZMC,,0.711971,0.192145
하성운,하성운,,0.243996,0.032899
WendyWang,WendyWang,,0.022885,0.126881
X1(엑스원),X1(엑스원),,0.757787,0.060138
ThomasTroelsen,ThomasTroelsen,,0.00093,0.004487
최규성,최규성,,0.079647,0.009425
조영수,조영수,,0.015855,0.007511
SupremeBoi,SupremeBoi,,0.093422,0.011548
MooF,MooF,,0.11214,0.027751
MINO,MINO,,0.289105,0.030578
EmilyWeisband,EmilyWeisband,,0.047347,0.020205
Cedric'Dabenchwarma'Smith,Cedric'Dabenchwarma'Smith,,0.1171,0.14015
다비치,다비치,,0.11997,0.029676
전소연(SOYEON),전소연(SOYEON),,0.009519,0.044142
LaurentWilthien,LaurentWilthien,,0.009197,0.008357
JairaBurns,JairaBurns,,0.140849,0.012717
LouisSchoorl,LouisSchoorl,,0.009197,0.009421
소녀시대(GIRLS'GENERATION),소녀시대(GIRLS'GENERATION),,0.111379,0.017882
박봄(ParkBom),박봄(ParkBom),,0.019348,0.009203
에릭남(EricNam),에릭남(EricNam),,0.104876,0.031179
박보람,박보람,,0.027591,0.030814
LaurellBarker,LaurellBarker,,0.01039,0.005655
싸이,싸이,,0.098704,0.008059
한재호,한재호,,0.008077,0.006369
숀,숀,,0.062514,0.001918
박기태,박기태,,0.499079,0.028033
백현(BAEKHYUN),백현(BAEKHYUN),,0.042458,0.004087
DavidBrook,DavidBrook,,0.009197,0.009421
ITZY(있지),ITZY(있지),,2.034665,0.098936
13,13,,0.076146,0.022328
TEDDY,TEDDY,,1.258869,0.039642
