Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ZiorPark(지올팍),ZiorPark(지올팍),,8,0.243399,0.286344,205.109725
PaulBlanco,PaulBlanco,,9,0.233571,0.264167,1092.591182
맥대디(Mckdaddy),맥대디(Mckdaddy),,10,0.2076,0.233822,30.928345
BLOO,BLOO,,2,0.666667,0.75,0
Vangdale,Vangdale,,9,0.205718,0.228162,126.22057
TheNeed,TheNeed,,9,0.218034,0.243723,323.98058
BonnieBramlett,BonnieBramlett,,11,0.148018,0.160094,0
김효은(Keemhyoeun),김효은(Keemhyoeun),,11,0.192433,0.215967,11.167884
Loopy,Loopy,,9,0.260141,0.290055,166.384343
짱유(JJANGYOU),짱유(JJANGYOU),,10,0.214078,0.251634,363.163735
COE,COE,,2,0.555556,0.6,0
Score(13),Score(13),,11,0.180982,0.196773,0
김진표(JP),김진표(JP),,2,0.75,0.833333,0.5
이영지(LeeYoung-ji),이영지(LeeYoung-ji),,10,0.232467,0.261485,109.930038
Unsinkable,Unsinkable,,9,0.223654,0.25717,61.358668
PSY,PSY,,2,0.75,0.833333,0.5
사이먼도미닉(SimonDominic),사이먼도미닉(SimonDominic),,8,0.265766,0.313608,2111.910943
Untell(언텔),Untell(언텔),,10,0.219494,0.242768,0
SEOMINGYU(서민규),SEOMINGYU(서민규),,13,0.106962,0.119681,0.333333
KyoLee,KyoLee,,11,0.196144,0.223278,9.398063
Hangzoo,Hangzoo,,12,0.119433,0.132162,0
김하온(HAON),김하온(HAON),,10,0.224505,0.265424,2021.422959
EK,EK,,11,0.197987,0.229174,60.283172
APRO,APRO,,8,0.218195,0.252506,5294.256843
TheQuiett,TheQuiett,,9,0.253219,0.301706,1987.46585
MommySon,MommySon,,9,0.208481,0.230164,0
도넛맨(Donutman),도넛맨(Donutman),,10,0.219168,0.24636,6.474754
ASHISLAND(애쉬아일랜드),ASHISLAND(애쉬아일랜드),,10,0.204011,0.236095,370.496119
PARKKYUNG,PARKKYUNG,,11,0.180982,0.196773,0
trrst,trrst,,11,0.198787,0.229287,7.003565
윤상,윤상,,9,0.212078,0.25265,26.443131
chilly,chilly,,11,0.225708,0.258331,0
스월비(Swervy),스월비(Swervy),,10,0.206294,0.224617,31.295002
페노메코(PENOMECO),페노메코(PENOMECO),,8,0.218843,0.256513,1507.064705
dnss,dnss,,11,0.225708,0.258331,0
EddyPauer,EddyPauer,,11,0.190077,0.207354,0
IlBOI,IlBOI,,2,0.571429,0.625,0
FlashNote,FlashNote,,9,0.217391,0.240616,31.98058
