Id,Label,timeset,Weighted Degree,eigencentrality
JuliaMichaels,JuliaMichaels,,0.06518,0.138386
FRANTS,FRANTS,,0.253481,0.070345
아이유,아이유,,4.739952,0.763365
마부스,마부스,,0.189876,0.00797
dwilly,dwilly,,0.057358,0.046887
EXO,EXO,,0.156389,0.050136
비스트,비스트,,0.01847,0.102599
Sonny,Sonny,,0.012714,0.006248
danke,danke,,0.119702,0.10989
SEION,SEION,,0.090066,0.007309
엄지,엄지,,0.062404,0.04979
DanielKim,DanielKim,,0.046456,0.069198
라도,라도,,0.781376,0.419487
AFSHEEN,AFSHEEN,,0.025351,0.014833
MGR,MGR,,0.013487,0.018009
안예은,안예은,,0.005506,0.005812
강욱진,강욱진,,0.087434,0.007941
황인규,황인규,,0.008844,0.010551
LIL27CLUB,LIL27CLUB,,0.001496,0.012331
HayleyKiyoko,HayleyKiyoko,,0.011318,0.088821
BLACKPINK,BLACKPINK,,4.13651,0.168167
N!ko,N!ko,,0.156589,0.10989
브라더수,브라더수,,0.058114,0.077136
Baauer,Baauer,,0.005023,0.003154
던,던,,0.050667,0.007607
Engeline,Engeline,,0.025421,0.07358
BoyMatthews,BoyMatthews,,0.021705,0.034368
김태영,김태영,,0.004514,0.016462
WOOZI,WOOZI,,0.247086,0.032389
지예준,지예준,,0.162962,0.028671
주헌,주헌,,0.024557,0.012581
Laser,Laser,,0.00346,0.012581
DennisDeKoKordnejad,DennisDeKoKordnejad,,0.011901,0.01251
EastWest,EastWest,,0.033361,0.021644
JessicaAgombar,JessicaAgombar,,0.196381,0.064554
TusharApte,TusharApte,,0.009328,0.033287
비투비,비투비,,0.107032,0.229784
$$AM,$$AM,,0.090066,0.007309
ShariShort,ShariShort,,0.025351,0.014833
JordanWitzigreuter,JordanWitzigreuter,,0.04481,0.032389
SelenaGomez,SelenaGomez,,0.069516,0.033287
브레이브걸스,브레이브걸스,,1.731432,0.022907
RM,RM,,0.511244,0.064554
Elum,Elum,,0.018766,0.011749
SUGA,SUGA,,0.332938,0.064554
EdSheeran,EdSheeran,,0.094077,0.064554
박진영(J.Y.Park),박진영(J.Y.Park),,0.354368,0.060336
Alawn,Alawn,,0.015192,0.01251
최병준,최병준,,0.020694,0.007613
Mussashi,Mussashi,,0.028745,0.014219
효연(HYO),효연(HYO),,0.081093,0.111316
CelineSvanback,CelineSvanback,,0.383879,0.250294
Dokkun,Dokkun,,0.548056,0.158051
블랙아이드필승,블랙아이드필승,,0.712342,0.287829
Yaakov'Yash'Gruzman,Yaakov'Yash'Gruzman,,0.00699,0.009294
HarrySommerdahl,HarrySommerdahl,,0.008933,0.045591
24,24,,0.640339,0.041545
조윤경,조윤경,,0.062404,0.04979
JustinReinstein,JustinReinstein,,0.181229,0.215113
RonnySvendsen,RonnySvendsen,,0.023758,0.031013
TayJasper,TayJasper,,0.065379,0.142754
김기리,김기리,,0.01847,0.102599
문별(마마무),문별(마마무),,0.005519,0.003154
TheFamily,TheFamily,,0.026396,0.046887
비룡,비룡,,0.096298,0.031627
세븐틴,세븐틴,,1.270571,0.167404
개코,개코,,0.003728,0.034368
전준규,전준규,,0.018921,0.018582
오마이걸(OHMYGIRL),오마이걸(OHMYGIRL),,2.722096,0.475225
LauraBrian,LauraBrian,,0.000907,0.071206
몬스타엑스,몬스타엑스,,0.158421,0.046486
AndrewChoi,AndrewChoi,,0.012948,0.09191
Mr.Franks,Mr.Franks,,0.101214,0.033287
로키드(Lokid),로키드(Lokid),,0.048265,0.004867
JordanJamesReyes,JordanJamesReyes,,0.176525,0.088821
Realmeee,Realmeee,,0.012714,0.046887
비룡),비룡),,0.435609,0.040529
한재완,한재완,,0.006172,0.069198
