Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
GroovyRoom,GroovyRoom,,10,0.233297,0.284995,1479.101021
dsel(디젤),dsel(디젤),,11,0.134216,0.162252,153
Jessi,Jessi,,12,0.17081,0.194568,0
HYESUNG,HYESUNG,,3,0.461538,0.527778,0
제시(Jessi),제시(Jessi),,3,0.533333,0.6875,18
ASHISLAND(애쉬아일랜드),ASHISLAND(애쉬아일랜드),,13,0.201133,0.263625,999.25874
sogumm,sogumm,,10,0.185702,0.214457,630
PHILL,PHILL,,4,0.363636,0.447917,0
MINO,MINO,,2,0.555556,0.6,0
릴보이(lIlBOI),릴보이(lIlBOI),,11,0.255702,0.332883,2489.757498
스윙스(Swings),스윙스(Swings),,9,0.284379,0.344256,2815.508683
똘아이박,똘아이박,,8,0.199252,0.229136,70
LeeYoung-ji,LeeYoung-ji,,10,0.184735,0.20898,0
루피(Loopy),루피(Loopy),,9,0.237989,0.278618,148.31171
스카이민혁(Skyminhyuk),스카이민혁(Skyminhyuk),,11,0.219361,0.264405,64.527194
plusNONE,plusNONE,,10,0.151601,0.175585,0
마미손(MommySon),마미손(MommySon),,13,0.155135,0.179081,423
BIBI,BIBI,,14,0.132216,0.145377,0
BewhY(비와이),BewhY(비와이),,13,0.106874,0.128705,212
SeoulMetroBoomin,SeoulMetroBoomin,,10,0.224921,0.258626,60.338887
vibin,vibin,,10,0.220725,0.249952,0
ChillinHomie(칠린호미),ChillinHomie(칠린호미),,11,0.226837,0.282268,206.455879
Score(13),Score(13),,2,0.6,0.666667,0
염따(YUMDDA),염따(YUMDDA),,11,0.23027,0.295726,1447.939487
Khakii(카키),Khakii(카키),,9,0.221184,0.25686,14.247097
GIRIBOY,GIRIBOY,,10,0.278431,0.36977,4080.313841
Minit,Minit,,10,0.246243,0.293524,262.507759
Junggigo,Junggigo,,14,0.169182,0.210229,22.567765
Heize,Heize,,8,0.250883,0.29274,2046.963343
길,길,,10,0.232279,0.27878,984.540395
Primary,Primary,,10,0.151818,0.178715,99
MUSHVENOM,MUSHVENOM,,12,0.17081,0.194568,0
에픽하이(EPIKHIGH),에픽하이(EPIKHIGH),,11,0.13271,0.156976,423
lIlBOI,lIlBOI,,12,0.203828,0.23849,0
pH-1,pH-1,,10,0.25448,0.305295,667.453974
SanE,SanE,,2,0.75,0.833333,0.5
첸(CHEN),첸(CHEN),,11,0.134725,0.169138,39.5
최엘비(CHOILB),최엘비(CHOILB),,11,0.225397,0.272878,52.835295
UNTITLEDS,UNTITLEDS,,12,0.187335,0.217017,0
KidWine,KidWine,,12,0.2054,0.253357,45.773969
Catchup,Catchup,,14,0.163218,0.194674,0
YUMDDA,YUMDDA,,10,0.264596,0.333307,3233.493951
JAMIE,JAMIE,,10,0.184735,0.20898,0
식케이(Sik-K),식케이(Sik-K),,11,0.216244,0.259889,1021.777241
DPRLIVE,DPRLIVE,,10,0.181277,0.200294,0
Viann,Viann,,14,0.096599,0.110879,0
SanE(산이),SanE(산이),,2,0.75,0.833333,0.5
Keymaker,Keymaker,,10,0.226837,0.268373,276.008493
UNEDUCATEDKID(언에듀케이티드키드),UNEDUCATEDKID(언에듀케이티드키드),,3,0.611111,0.742424,3.75
Jetti,Jetti,,10,0.204611,0.234554,0
JayPark,JayPark,,10,0.240135,0.287577,267.998752
유건형,유건형,,2,0.571429,0.625,16
Deanfluenza,Deanfluenza,,10,0.183147,0.204261,0
정기고(Junggigo),정기고(Junggigo),,13,0.185702,0.223954,88.895754
HyukShin,HyukShin,,10,0.183147,0.204261,0
Pick!,Pick!,,8,0.260073,0.310144,1630.788422
sAewoo,sAewoo,,10,0.233809,0.276153,166.996925
SUMIN,SUMIN,,10,0.221644,0.247593,0
philtre,philtre,,10,0.15247,0.184192,678.7
Padi,Padi,,10,0.151818,0.178715,48.7
SupremeTeam(슈프림팀),SupremeTeam(슈프림팀),,2,0.75,0.833333,0.5
Colde,Colde,,8,0.19888,0.226006,0
DK,DK,,10,0.183147,0.204261,0
JUSTHIS,JUSTHIS,,12,0.208619,0.254878,316.72805
BonnieBramlett,BonnieBramlett,,12,0.168646,0.187196,0
임수(ImSoo),임수(ImSoo),,3,0.5,0.611111,0.333333
HuckleberryP,HuckleberryP,,12,0.200376,0.248238,29.167305
Fisherman,Fisherman,,12,0.206196,0.245376,48.49959
Yuzion(유시온),Yuzion(유시온),,3,0.611111,0.742424,3.75
DAX,DAX,,12,0.172191,0.190318,0
ganguk,ganguk,,12,0.203828,0.23849,0
devita,devita,,10,0.181586,0.201468,0
Crush(크러쉬),Crush(크러쉬),,13,0.152252,0.173821,423
저스디스(JUSTHIS),저스디스(JUSTHIS),,11,0.240135,0.294307,923.840783
조용민,조용민,,10,0.226837,0.268373,276.008493
OBSN,OBSN,,12,0.118795,0.139209,0
thegarden,thegarden,,8,0.19888,0.226006,0
Wavyburnz,Wavyburnz,,3,0.458333,0.5,0
프리마비스타,프리마비스타,,12,0.200376,0.248238,29.167305
