Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
FineFive,FineFive,,4,0.368421,0.424603,0
박민지,박민지,,3,0.5,0.566667,0
짙은(Zitten),짙은(Zitten),,1,1,1,1
문성욱,문성욱,,3,0.529412,0.592593,0.5
김현수,김현수,,7,0.242775,0.310828,117
순순희,순순희,,6,0.242775,0.278571,0
박기훈,박기훈,,4,0.368421,0.424603,0
바닐라어쿠스틱(VanillaAcoustic),바닐라어쿠스틱(VanillaAcoustic),,5,0.349206,0.402273,0
원모어찬스(onemorechance),원모어찬스(onemorechance),,1,1,1,0
한국인,한국인,,4,0.368421,0.424603,0
사승호,사승호,,6,0.342857,0.421528,63
우효,우효,,2,0.666667,0.75,0
오반(OVAN),오반(OVAN),,7,0.253012,0.396429,345
조대민,조대민,,6,0.215686,0.273485,0
죠지(george),죠지(george),,5,0.313433,0.400794,39
Avalon8,Avalon8,,6,0.314286,0.399242,1.666667
Megatone,Megatone,,6,0.315789,0.372917,0
이현정,이현정,,8,0.230769,0.288244,0
히키(Hickee),히키(Hickee),,4,0.36,0.416667,0
마인드유,마인드유,,1,1,1,3
권혁호,권혁호,,6,0.28,0.338889,0
문문(MoonMoon),문문(MoonMoon),,1,1,1,1
KozyPop,KozyPop,,1,1,1,1
검정치마,검정치마,,1,1,1,0
주시크,주시크,,8,0.204878,0.282001,18.666667
허성정(HeoSeongJeong),허성정(HeoSeongJeong),,7,0.269663,0.359425,45
GC,GC,,2,0.6,0.666667,0
최유리(ChoiYuRee),최유리(ChoiYuRee),,5,0.349206,0.402273,0
숀(SHAUN),숀(SHAUN),,9,0.160305,0.193065,0
스웨덴세탁소(SwedenLaundry),스웨덴세탁소(SwedenLaundry),,5,0.349206,0.402273,0
김도형,김도형,,2,0.538462,0.571429,0
이요한,이요한,,4,0.466667,0.515873,90
리트너,리트너,,2,0.6,0.666667,5.166667
신현희와김루트(SEENROOT),신현희와김루트(SEENROOT),,1,1,1,1
고범준,고범준,,2,0.75,0.833333,2
SOUNDPALETTE(사운드팔레트),SOUNDPALETTE(사운드팔레트),,1,1,1,3
CHEEZE,CHEEZE,,9,0.175732,0.230083,0
안성현,안성현,,8,0.206897,0.297874,28.466667
윤딴딴(YUNDDanDdan),윤딴딴(YUNDDanDdan),,1,1,1,10
오반,오반,,8,0.206897,0.297874,26.966667
델리스파이스(DeliSpice),델리스파이스(DeliSpice),,2,0.75,0.833333,2
주시크(Joosiq),주시크(Joosiq),,9,0.173554,0.237906,0.666667
