Id,Label,timeset,Weighted Degree,eigencentrality
소수빈,소수빈,,0.003731,0.017807
HYUNKI,HYUNKI,,0.002422,0.054843
신현희와김루트(SEENROOT),신현희와김루트(SEENROOT),,0.019586,0.108481
마크툽(MAKTUB),마크툽(MAKTUB),,0.191554,0.086857
원모어찬스(onemorechance),원모어찬스(onemorechance),,0.028358,0.009192
nineoff,nineoff,,0.060259,0.217508
109,109,,0.001533,0.027471
장경준,장경준,,0.001504,0.138843
검정치마(TheBlackSkirts),검정치마(TheBlackSkirts),,0.025317,0.009192
이민혁(LeeMinHyuk),이민혁(LeeMinHyuk),,0.006482,0.025468
오반,오반,,0.128765,0.598694
109(일공구),109(일공구),,0.003067,0.056672
keyU,keyU,,0.006284,0.017807
CHEEZE,CHEEZE,,0.045408,0.175103
어쿠스틱콜라보(AcousticCollabo),어쿠스틱콜라보(AcousticCollabo),,0.045327,0.086857
강화성,강화성,,0.009902,0.074571
SCORE,SCORE,,0.011436,0.082256
기리보이,기리보이,,0.002613,0.094774
DOKO,DOKO,,0.024835,0.0459
공기남(Airman),공기남(Airman),,0.034789,0.009192
StandingEgg,StandingEgg,,0.05089,0.060793
민켄,민켄,,0.002325,0.017807
U-Turn,U-Turn,,0.004146,0.108271
적재(Jukjae),적재(Jukjae),,0.177364,0.201934
하은(포맨),하은(포맨),,0.05481,0.029013
빈첸(VINXEN),빈첸(VINXEN),,0.045475,0.473745
장기하와얼굴들(Kiha&TheFaces),장기하와얼굴들(Kiha&TheFaces),,0.000731,0.025468
Avalon8,Avalon8,,0.022734,0.197624
이문기,이문기,,0.001396,0.029013
DPRLIVE(디피알라이브),DPRLIVE(디피알라이브),,0.005372,0.050663
빌리어코스티,빌리어코스티,,0.05837,0.251339
밤그늘,밤그늘,,0.064718,0.217508
Egg2,Egg2,,0.065238,0.060793
권영찬,권영찬,,0.04048,0.074571
임정규,임정규,,0.198037,0.561241
고범준,고범준,,0.017742,0.035623
박민지,박민지,,0.047466,0.0432
VAN.C,VAN.C,,0.074781,0.56644
T.PRETRO(타디스프로젝트舊),T.PRETRO(타디스프로젝트舊),,0.217788,0.474545
정준일(JungJoonIl),정준일(JungJoonIl),,0.164142,0.186598
잔나비,잔나비,,0.276788,0.138843
심현보,심현보,,0.012612,0.017807
김윤주,김윤주,,0.001924,0.038227
데이브레이크,데이브레이크,,0.003239,0.029013
송호일,송호일,,0.047487,0.0432
죠지,죠지,,0.007156,0.094774
디어,디어,,0.000603,0.175103
Megatone,Megatone,,0.011436,0.082256
김승수,김승수,,0.005146,0.0432
황종하,황종하,,0.11142,0.149653
정성하,정성하,,0.000731,0.217755
김규년,김규년,,0.003155,0.029013
