Id,Label,timeset,Weighted Degree,eigencentrality
Noheul,Noheul,,0.242008,0.102989
APRO,APRO,,0.045179,0.107816
브라더수,브라더수,,0.047311,0.015516
코스믹사운드,코스믹사운드,,0.310252,0.013353
Vapo(허원혁),Vapo(허원혁),,0.009879,0.255554
Leellamarz,Leellamarz,,0.440766,0.078281
매드클라운(MadClown),매드클라운(MadClown),,0.036626,0.005273
플루마(PLUMA),플루마(PLUMA),,0.032463,0.08732
Cribs,Cribs,,0.008962,0.003725
송기홍,송기홍,,0.058535,0.005273
IMEANSEOUL,IMEANSEOUL,,0.03809,0.139409
스윙스(Swings),스윙스(Swings),,0.677925,0.193351
라비(RAVI),라비(RAVI),,0.073871,0.019392
sokodomo(소코도모),sokodomo(소코도모),,0.535763,0.243106
Jessi,Jessi,,0.236536,0.033839
베리,베리,,0.212384,0.187603
커즈디,커즈디,,0.203458,0.013385
SOLE(쏠),SOLE(쏠),,0.034551,0.298456
PEEJAY,PEEJAY,,0.2118,0.057775
마미손(MommySon),마미손(MommySon),,0.630557,0.023536
Colde,Colde,,0.007683,0.096774
VENKO,VENKO,,0.008145,0.025196
Louie,Louie,,0.574876,0.01789
넉살(Nucksal),넉살(Nucksal),,0.095055,0.395248
안병웅(AhnByeongWoong),안병웅(AhnByeongWoong),,0.128216,0.189907
J;KEY,J;KEY,,0.044729,0.003669
김효은,김효은,,0.41352,0.129993
rubyboyyisthegenius,rubyboyyisthegenius,,0.061998,0.056996
ASHISLAND(애쉬아일랜드),ASHISLAND(애쉬아일랜드),,3.01799,0.119969
DonMills,DonMills,,0.054317,0.268914
윤미래,윤미래,,0.004787,0.017334
KWAKZ,KWAKZ,,0.036936,0.07777
Smob,Smob,,0.141854,0.010415
lIlBOI,lIlBOI,,0.648963,0.089293
PHILL,PHILL,,0.221204,0.013385
Choiza,Choiza,,0.007568,0.013036
노윤하(RohYoonha),노윤하(RohYoonha),,0.051826,0.270433
BLOO,BLOO,,0.257236,0.003725
rossgossage,rossgossage,,0.567511,0.014377
DPRLIVE,DPRLIVE,,0.011674,0.002354
AVERZI,AVERZI,,0.037409,0.008477
GroovyRoom,GroovyRoom,,2.195111,0.334366
devita,devita,,0.004787,0.017334
JAMIE,JAMIE,,0.10491,0.090943
Loco,Loco,,0.392559,0.381603
QUIZQUIZ,QUIZQUIZ,,0.018468,0.004932
프라이머리(Primary),프라이머리(Primary),,0.170594,0.065193
빈첸(VINXEN),빈첸(VINXEN),,0.064393,0.001717
Muddthestudent,Muddthestudent,,0.080332,0.048901
sokodomo,sokodomo,,0.042851,0.030319
TheQuiett(더콰이엇),TheQuiett(더콰이엇),,0.41352,0.12791
KOONTA,KOONTA,,0.089097,0.019299
Konquest,Konquest,,0.022542,0.06103
FIFTYFIVE,FIFTYFIVE,,0.058302,0.118801
Perro,Perro,,0.019045,0.056996
0set,0set,,0.033991,0.010705
최지호,최지호,,0.036626,0.005273
Jaero,Jaero,,0.141676,0.013385
haventseenyou,haventseenyou,,0.018618,0.066704
Catchup,Catchup,,0.014748,0.040504
DonMills(던밀스),DonMills(던밀스),,0.29885,0.634769
WOOGIE,WOOGIE,,0.046645,0.047178
bayb,bayb,,0.061355,0.013385
Nucksal,Nucksal,,0.054317,0.268914
unofficialboyy(언오피셜보이),unofficialboyy(언오피셜보이),,0.171133,0.262194
SLO,SLO,,0.079078,0.020454
JAEHA(재하),JAEHA(재하),,0.143242,0.108906
JWay,JWay,,0.223315,0.025262
나플라(nafla),나플라(nafla),,0.012094,0.042521
DeVita(드비타),DeVita(드비타),,0.034551,0.298456
DelaneyBramlett,DelaneyBramlett,,0.176318,0.005273
h3hyeon,h3hyeon,,0.02656,0.057631
606gus,606gus,,0.005525,0.019493
willy,willy,,0.059256,0.056996
BE'O(비오),BE'O(비오),,1.056628,0.485839
PandaGomm,PandaGomm,,0.014748,0.040504
Mirani,Mirani,,0.231599,0.092915
D.Owner,D.Owner,,0.033991,0.010705
MC스나이퍼(MCSniper),MC스나이퍼(MCSniper),,0.012493,0.003679
블루(BLOO),블루(BLOO),,0.523007,0.008369
Diggy,Diggy,,0.0756,0.006938
BIBI,BIBI,,0.004411,0.002354
Kleine,Kleine,,0.042707,0.033719
TOIL,TOIL,,2.006115,0.219085
AiRPLAY,AiRPLAY,,0.020282,0.006938
DJWegun(DJ웨건),DJWegun(DJ웨건),,0.029128,0.085375
먼치맨(MUNCHMAN),먼치맨(MUNCHMAN),,0.765546,0.094818
BonnieBramlett,BonnieBramlett,,0.176318,0.005273
BewhY(비와이),BewhY(비와이),,0.051143,0.00727
아우릴고트(OUREALGOAT),아우릴고트(OUREALGOAT),,0.128216,0.189907
서태지,서태지,,0.009599,0.040504
그루비룸(GroovyRoom),그루비룸(GroovyRoom),,0.276329,0.114505
김효은(Keemhyoeun),김효은(Keemhyoeun),,0.131273,0.012349
영준(YOUNGJUN),영준(YOUNGJUN),,0.058535,0.005273
KOONTA(쿤타),KOONTA(쿤타),,0.500591,0.1309
Bobblehead,Bobblehead,,0.061355,0.013385
송민영(KidM),송민영(KidM),,0.084561,0.077417
Muddthestudent(머드더스튜던트),Muddthestudent(머드더스튜던트),,0.488431,0.429231
GAEKO,GAEKO,,0.904029,0.478502
D.Ark(디아크),D.Ark(디아크),,0.379555,0.058162
강욱진,강욱진,,0.0756,0.006938
SanE,SanE,,0.326159,0.013353
