가수,점수
김다솔,0.0030998
임진강,0.0030998
권상진,0.0030998
오동준,0.003046
홍소진,0.002985
크루셜스타(CRUCiALSTAR),0.0029756
레터플로우(Letterflow),0.0029664
스웨덴세탁소(SwedenLaundry),0.0029664
최유리(ChoiYuRee),0.0029664
김지수(KimJisu),0.0029664
뎁트(Dept),0.002898
전태원,0.0028775
성재,0.0028416
서동환,0.0028238
준,0.0028238
SOUNDPALETTE(사운드팔레트),0.0028161
소란(SORAN),0.0027632
그리즐리(Grizzly),0.0027486
이준호,0.0027472
스무살,0.0027058
반하나,0.0026257
Zion.T,0.0025752
최준영,0.002572
김기림,0.002526
심현보,0.0025224
박민서,0.0025224
김한주,0.0025143
So!YoON!,0.0025143
윤현상(YoonHyunSang),0.0025136
순순희,0.0024667
서정일,0.0023842
디에이드(TheAde),0.0023794
경제환(Jehwwn),0.0023675
경제환,0.0023675
이재성,0.0023334
Fuxxy,0.0023334
김민규,0.002283
다운,0.0022485
Ryo,0.0022485
신현희,0.0021716
Clau:D,0.0021603
BrianU,0.0021423
JosephK,0.0021423
구현모,0.0021423
신성진,0.0021022
Thaibeats,0.0020634
찬현,0.0020634
강지원,0.0019702
이종훈,0.0018602
임하은,0.001845
Vovo,0.0017705
우효(OOHYO),0.0017502
고요(GOYO),0.0017195
고요,0.0017195
짙은(Zitten),0.001674
정수민(SSMusic),0.001663
이민혁(LeeMinHyuk),0.0016459
박재우,0.0016242
이치원,0.0016133
데이브레이크(DAYBREAK),0.0015964
Smyers,0.0015555
JamesShay,0.0015555
Veltz,0.0015555
Mooney,0.0015555
Reynolds,0.0015555
Jordan,0.0015555
Dan,0.0015555
Laura,0.0015555
옥상달빛,0.0015396
크래커(CRACKER),0.0015052
크래커,0.0015052
소수빈(SoSooBin),0.0014922
진대호,0.0014698
하현상(HAHYUNSANG),0.001449
한국인,0.0014126
Shyun,0.001402
주성근,0.001397
오지현,0.001397
그리즐리,0.0013868
크라잉넛(CRYINGNUT),0.0012981
캡틴락,0.0012981
Easthund,0.0012934
권순관,0.0012806
keyU,0.0012568
조규만,0.0012568
에이브,0.0012285
DPRCREAM(디피알크림),0.0011896
DPRCREAM,0.0011896
프롬(Fromm),0.0011546
40,0.0011536
40(포티),0.0011536
주정근,0.0011442
PL(피엘),0.0011215
안영민,0.0011176
DPRLIVE(디피알라이브),0.0010744
김승수,0.0010292
유승우(YuSeungWoo),0.0010016
Color,0.0009976
마멀레이드키친,0.0009866
요한,0.0009866
김임춘,0.0009866
이광운,0.0009866
권동찬,0.0009754
차세정,0.000957
가현,0.0009387
GC,0.0009387
권태훈,0.0009305
소란,0.0009294
고영배,0.0009294
G.Urban(지어반),0.0008908
박태진,0.0008764
우효,0.0008751
TonyDoogan,0.0008751
OhashiTrio,0.0008717
818,0.0008456
Noair,0.0008402
샘김,0.0008402
하상욱(HaSangwook),0.0008374
윤형로,0.000837
짙은,0.000837
코지,0.0008352
최용찬,0.0008314
U-Turn,0.0008292
이민혁,0.0008228
김장원,0.0008228
자이로,0.000821
LambC,0.000821
JohnOFARhee,0.000821
Flyn,0.0008108
소수빈,0.0007462
Humbert,0.0007462
SeoMary,0.0006818
루셜스타,0.0006818
jeebanoff,0.0006818
디어,0.000678
데이브레이크,0.0006478
홍준,0.0006478
도깨비,0.000645
김규년,0.000631
HAVEN,0.000631
HYUNKI,0.0006248
재희,0.0006248
109(일공구),0.0006134
심현,0.0005274
김건,0.0005274
기리보이,0.0005226
ampoff,0.0005226
유승우,0.0005007
하현상,0.000483
Clam,0.000483
사이,0.000483
뎁트,0.000483
ASHLEYALISHA,0.000483
NikoBlank,0.000483
SonnyZero,0.000483
Naiv,0.000483
제인스,0.000483
Liss,0.0004665
민켄,0.000465
크루셜스타,0.000465
김세진,0.0004454
해일,0.0004356
박기영,0.0004254
마인드유,0.0004215
EggPlant,0.000416
GodieWatch,0.000416
권디엘,0.000416
바버렛츠(TheBarberettes),0.000416
김춘추,0.0004052
김윤주,0.0003848
Kiik,0.0003848
프롬,0.0003848
소다,0.0003848
Cream,0.0003582
DPRLIVE,0.0003582
Crush,0.0003582
결(KYUL),0.0003485
결,0.0003485
109,0.0003066
이원석,0.0003008
KyumLYK,0.0002805
HONEST,0.0002805
BAEKLYK,0.0002805
PL,0.0002805
이문기,0.0002792
하상욱,0.0002792
조성태,0.0002792
김동민,0.00019
장기하와얼굴들(Kiha&TheFaces),0.0001462
정성하,0.0001462
고석영,0.0001415
장기하,7.32E-05
장기하와얼굴들,7.32E-05
황대현,4.90E-05
루빈,3.57E-05
한승연,3.57E-05
양시온,0
이택승,0
김훈식,0
이승윤,0
이승윤(LeeSeung-yoon),0
이종한,0
